primary_vessel_id,vessel_name,call_sign,service_type,service_sub,status_lookup,construct_complete_year,out_of_service_date,identification,id_type_id,id_type_name,country,country_id
1079242,FL8814NM,,Recreational,Sport Fisher,Laid Up,,2010-07-08T14:16:35-04:00,FL8814NM,12,State Number,UNITED STATES,176948
1106555,TEIA MARIE,,Recreational,Cabin Cruiser,Active,1979,,CG1106555,13,Coast Guard Number,UNITED STATES,176948
576387,STAR WEIRD,,Recreational,General,Active,,,1129791,6,Official Number (U.S.),UNITED STATES,176948
588466,DIG'N IT,,Recreational,General,Active,2002,,1132299,6,Official Number (U.S.),UNITED STATES,176948
594275,ABSOLUT PARROTHEAD,,Recreational,Cabin Cruiser,Active,,,1175831,6,Official Number (U.S.),UNITED STATES,176948
607670,FL4910LW,,Recreational,General,Active,2001,,FL4910LW,12,State Number,UNITED STATES,176948
613737,FL5262MD,,Recreational,Personal Watercraft (e.g. Jet Ski),Active,2003,,FL5262MD,12,State Number,UNITED STATES,176948
615297,HAPPY OURS,,Recreational,General,Active,2003,,1140290,6,Official Number (U.S.),UNITED STATES,176948
633249,DL3795W,,Recreational,Runabout,Active,1978,,DL3795W,12,State Number,UNITED STATES,176948
637415,NY 4097 JZ,,Recreational,Cabin Cruiser,Active,1988,,NY4097JZ,12,State Number,UNITED STATES,176948
519229,WISKER BUISQIT,,Recreational,Runabout,Unknown,,,FL1388FU,12,State Number,UNITED STATES,176948
577657,MARGIE B,,Passenger (Uninspected),"General (6 or Fewer, Gross Tonnage < 100)",Active,,,VA6004WW,12,State Number,UNITED STATES,176948
580942,MC9603LV,,Recreational,Cabin Cruiser,Active,1968,,4491041226,5,Hull Number,UNKNOWN,282527
278337,LEVIN,3EXA2,Freight Ship,General 2,Active,1981,,8103755,2,IMO Number,PANAMA,176886
545079,MISS SHARRS,,Recreational,Cabin Cruiser,Unknown,,,NJ3262GD,12,State Number,UNITED STATES,176948
590177,SHORTY N MOSE,,Recreational,General,Active,2001,,1132656,6,Official Number (U.S.),UNITED STATES,176948
503918,SIZE MATTERS,,Recreational,General,Active,1999,,1087184,6,Official Number (U.S.),UNITED STATES,176948
508762,LA PANICHE,,Recreational,General,Unknown,,,CG058022,13,Coast Guard Number,UNITED STATES,176948
513659,LINDA LUZ,,Commercial Fishing Vessel,Hand Line,Unknown,,,PR4604BB,12,State Number,UNITED STATES,176948
1023891,FL6906HF,,Recreational,General,Active,,,FL6906HF,12,State Number,UNITED STATES,176948
1068657,MD8160CB,,Recreational,Runabout,Active,2006,,MD8160CB,12,State Number,UNITED STATES,176948
543154,NC79272J,,Recreational,Cabin Cruiser,Unknown,,,NLBK539B000,5,Hull Number,UNITED STATES,176948
610330,FL6675HW,,,,Active,1993,,FL6675HW,12,State Number,UNITED STATES,176948
1032923,OK0377CG,,Recreational,Personal Watercraft (e.g. Jet Ski),Active,1993,,OK0377CG,12,State Number,UNITED STATES,176948
556957,VA8119PP,WCM4677,Recreational,Runabout,Unknown,,,VA8119PP,12,State Number,UNITED STATES,176948
260969,ANOTHER DAY IN PARADISE,,Recreational,General,Active,1985,,688957,6,Official Number (U.S.),UNITED STATES,176948
554275,TX6349HU,,Recreational,Runabout,Unknown,,,TX6349HU,12,State Number,UNITED STATES,176948
648823,NJ1834CT,,Recreational,General,Active,1983,,NJ1834CT,12,State Number,UNITED STATES,176948
527549,SOUTHERNCOMFORT,,Recreational,Runabout,Unknown,,,FL9853CV,12,State Number,UNITED STATES,176948
298799,PRIORITY,,Recreational,General,Active,1983,,921916,6,Official Number (U.S.),UNITED STATES,176948
299737,SEA WITCH,,Recreational,General,Active,,,920999,6,Official Number (U.S.),UNITED STATES,176948
269456,JILA,,Recreational,General,Active,1984,,697194,6,Official Number (U.S.),UNITED STATES,176948
1085065,UNNAMED,,,,Active,2009,,BOHT5001A909,15,HIN,UNITED STATES,176948
1085066,FL8197MW,,Recreational,Personal Watercraft (e.g. Jet Ski),Active,2005,,FL8197MW,12,State Number,UNITED STATES,176948
643590,HANGA AFRICA,,Freight Ship,General 2,Active,,,CG643590,13,Coast Guard Number,GERMANY,176803
550733,NONE,,Recreational,Runabout,Unknown,,,OR533KA,12,State Number,UNITED STATES,176948
583015,MC3726NS,,Recreational,Runabout,Active,1988,,MC3726NS,12,State Number,UNITED STATES,176948
501192,STRESS MANAGEMENT,,Recreational,General,Active,1999,,BVKA30YEL899,15,HIN,MEXICO,176859
615290,EBL 2998,,Tank Barge,General 2,Active,,,1140286,6,Official Number (U.S.),UNITED STATES,176948
569214,REEL SENSE,,Recreational,Cabin Cruiser,Active,2002,,1128317,6,Official Number (U.S.),UNITED STATES,176948
626885,KAY TYPE,,Recreational,Cabin Cruiser,Active,2002,,FL1589MG,12,State Number,UNITED STATES,176948
629097,MC8797RY,,Recreational,Runabout,Active,1994,,MC8797RY,12,State Number,UNITED STATES,176948
272708,GOLDEN HOPE,DSOZ8,Freight Ship,General,Active,1986,,8309024,2,IMO Number,SOUTH KOREA,176919
576107,NY6613PN,,Recreational,Cabin Cruiser,Active,,,CG576107,13,Coast Guard Number,UNITED STATES,176948
1077671,NC3211DH,,Recreational,Runabout,Active,2007,,NC3211DH,12,State Number,UNITED STATES,176948
566984,UNKNOWN VESSEL (MISS SHELIA K),,Commercial Fishing Vessel,General,Unknown,1977,2007-01-19T00:00:00-05:00,TRJ092291078,15,HIN,UNITED STATES,176948
507262,SHOCK TREATMENT,,Recreational,General,Active,,,1089494,6,Official Number (U.S.),UNITED STATES,176948
1025849,NY8742998,,Recreational,General,Active,2002,,MUS20533F203,15,HIN,UNITED STATES,176948
544273,NH8389AC,,Recreational,Cabin Cruiser,Unknown,,,NH8389AC,12,State Number,UNITED STATES,176948
556428,VA6636AR,,Recreational,Runabout,Unknown,,,VA6636AR,12,State Number,UNITED STATES,176948
611846,BOSTON LEGAL,,Recreational,General,Active,2002,,1138964,6,Official Number (U.S.),UNITED STATES,176948
589066,CHILLIWATA,,Recreational,Cabin Cruiser,Active,1995,,NH5773AX,12,State Number,UNITED STATES,176948
670013,NC9614WD,,Recreational,Runabout,Active,1998,,NC9614WD,12,State Number,UNITED STATES,176948
932251,UNNAMED,,Recreational,Runabout,Active,2004,,NC40473WV,18,Official Number (Foreign),UNKNOWN,282527
293828,PATTY VEE,,Recreational,General,Active,1987,,920057,6,Official Number (U.S.),UNITED STATES,176948
628726,PAYED TO PLAY,,Recreational,General,Active,2003,,1143639,6,Official Number (U.S.),UNITED STATES,176948
651989,SEA SPARROW,,Recreational,Cabin Cruiser,Active,1998,,NY5096UT,12,State Number,UNITED STATES,176948
574676,MC7068MK,,Recreational,General,Active,1972,,MC7068MK,12,State Number,UNKNOWN,282527
204860,DREAM WEAVER,WCO6710,Passenger (Uninspected),"General (6 or Fewer, Gross Tonnage < 100)",Active,1981,,644621,6,Official Number (U.S.),UNITED STATES,176948
211745,SANDPIPER,WCN2956,Recreational,General,Active,1982,,651725,6,Official Number (U.S.),UNITED STATES,176948
1078661,PA9724AZ,,Recreational,General,Active,1991,,PA9724AZ,12,State Number,UNITED STATES,176948
255570,WAR BONNET,,Recreational,General,Active,1977,,681844,6,Official Number (U.S.),UNITED STATES,176948
568166,FUNDY SPRAY,,Commercial Fishing Vessel,Pot/Trap,Active,1988,,ME5414A,12,State Number,UNITED STATES,176948
648798,NC4034CG,WCO6132,Recreational,Runabout,Active,1993,,NC4034CG,12,State Number,UNITED STATES,176948
1063853,FL6575NG,,Recreational,Runabout,Active,2006,,FL6575NG,12,State Number,UNITED STATES,176948
1116358,LA7460FV,,Recreational,General,Active,2007,,LA7460FV,12,State Number,UNITED STATES,176948
1116359,NC9825DD,,Recreational,Runabout,Active,1994,,NC9825DD,12,State Number,UNITED STATES,176948
612929,MA CHERIE 5,,,,Active,,,CG612929,13,Coast Guard Number,CANADA,176761
253784,MAUDE,WCM5160,Recreational,General,Active,1980,,685787,6,Official Number (U.S.),UNITED STATES,176948
558610,WN6996RH,,Recreational,Runabout,Unknown,,,WN6996RH,12,State Number,UNITED STATES,176948
536617,MD 4103 BE,,Recreational,Runabout,Unknown,,,MD4103BE,12,State Number,UNITED STATES,176948
574676,MC7068MK,,Recreational,General,Active,1972,,MC7068MK,12,State Number,UNKNOWN,282527
278833,JONATHAN,,Recreational,General,Active,1977,,905438,6,Official Number (U.S.),UNITED STATES,176948
650238,PA8021AW,,Recreational,Runabout,Active,1989,,SMK663871990,5,Hull Number,UNKNOWN,282527
505400,SCRUFFY,,Recreational,General,Active,1999,,1088204,6,Official Number (U.S.),UNITED STATES,176948
510453,LEDIA M,,,,Active,,,PR5724AA,18,Official Number (Foreign),UNITED STATES,176948
513745,SILK DEGREES,,Recreational,General,Active,2001,,1125035,6,Official Number (U.S.),UNITED STATES,176948
540299,NC1536WG,,Recreational,Runabout,Unknown,1999,,NC1536WG,12,State Number,UNITED STATES,176948
540313,NC1582WD,,Recreational,Runabout,Unknown,,,NC1582WD,12,State Number,UNITED STATES,176948
540317,NC 1588 N,,Recreational,Runabout,Unknown,,,NC1588N,12,State Number,UNITED STATES,176948
540325,NC 1596 WH,,Recreational,Runabout,Unknown,1999,,NC1596WH,12,State Number,UNITED STATES,176948
540330,NC1604WB,,Recreational,Runabout,Unknown,,,NC1604WB,12,State Number,UNITED STATES,176948
540343,NC1633CV,,Recreational,Runabout,Unknown,,,NC1633CV,12,State Number,UNITED STATES,176948
540376,NC 1705 BN,,Recreational,Runabout,Unknown,,,NC1705BN,12,State Number,UNITED STATES,176948
544216,NH4504AY,,Recreational,Runabout,Unknown,,,NH4504AY,12,State Number,UNITED STATES,176948
545273,MARINO,,Recreational,Runabout,Unknown,,,NJ3967FZ,12,State Number,UNITED STATES,176948
545274,NONE,,Recreational,Runabout,Unknown,,,NJ3978FK,12,State Number,UNITED STATES,176948
546184,NJ7625GM,,Recreational,Runabout,Unknown,,,NJ7625GM,12,State Number,UNITED STATES,176948
546194,NONE,,Recreational,Runabout,Unknown,,,NJ7646GF,12,State Number,UNITED STATES,176948
554776,VA1327AD,,Recreational,Runabout,Unknown,,,VA1327AD,12,State Number,UNITED STATES,176948
554781,GET LIT,,Recreational,Cabin Cruiser,Unknown,1999,,CAR25194J899,15,HIN,UNITED STATES,176948
554853,VA1548AE,,Recreational,Runabout,Unknown,,,VA1548AE,12,State Number,UNITED STATES,176948
555548,VA3661JJ,,Recreational,Runabout,Unknown,,,VA3661JJ,12,State Number,UNITED STATES,176948
555570,VA3784DA,,Recreational,Runabout,Unknown,,,VA3784DA,12,State Number,UNITED STATES,176948
558824,N/A,,Recreational,Runabout,Unknown,,,WN852D,12,State Number,UNITED STATES,176948
560864,ELKIN,,Commercial Fishing Vessel,General,Active,,,2521606,2,IMO Number,COLOMBIA,176770
561560,TAKE 2,,Recreational,General,Active,2001,,1125680,6,Official Number (U.S.),UNITED STATES,176948
562640,HUSTLER,,Recreational,General,Active,1995,,1126147,6,Official Number (U.S.),UNITED STATES,176948
564112,NONE,,Recreational,General,Inactive,1965,,NONE,5,Hull Number,UNITED STATES,176948
564113,NC2872CF,,Recreational,Runabout,Active,1993,,NC2872CF,12,State Number,UNITED STATES,176948
564150,KNOT TODAY,,Recreational,General,Active,1975,,CF6138FV,12,State Number,UNITED STATES,176948
564170,CCNI VALPARAISO,V7DR5,Freight Ship,General Cargo/Container,Active,2002,,9243239,2,IMO Number,MARSHALL ISLANDS,176854
595594,FL0212HK,,Recreational,General,Active,1990,,WELP6030HQ90,5,Hull Number,UNKNOWN,282527
605980,CAHMED,,Freight Ship,General,Active,,,CG605980,13,Coast Guard Number,LIBERIA,176841
611587,BASTET,,Recreational,General,Active,1996,,1138904,6,Official Number (U.S.),UNITED STATES,176948
616286,BLUE MOON,,Recreational,General,Active,2002,,1140561,6,Official Number (U.S.),UNITED STATES,176948
622258,RITA KATE,,Recreational,General,Active,,,1142213,6,Official Number (U.S.),UNITED STATES,176948
626188,DL8977U,,Recreational,Runabout,Unknown,1998,,DL8977U,12,State Number,UNITED STATES,176948
626196,WS2591BF,,Recreational,General,Active,,,WS2591BF,12,State Number,UNITED STATES,176948
626872,PUT IT OUT,,Recreational,General,Active,2001,,1143239,6,Official Number (U.S.),UNITED STATES,176948
637017,MN5660JL,,Recreational,General,Active,2002,,MN5660JL,12,State Number,UNITED STATES,176948
640096,VA1858A,,Recreational,Runabout,Active,2000,,WELANB88C000,15,HIN,UNKNOWN,282527
640107,VA5519AT,,Recreational,Runabout,Active,,,GWK24302HL87,5,Hull Number,UNKNOWN,282527
270292,IMPULSE,,Recreational,General,Active,1985,,696053,6,Official Number (U.S.),UNITED STATES,176948
600552,OSIRIS II,,Recreational,General,Active,2002,,BEY79107J203,5,Hull Number,"VIRGIN ISLANDS, BRITISH",176957
603410,ALIA MORGAN,,Recreational,General,Active,1966,,508758,6,Official Number (U.S.),UNITED STATES,176948
297054,SHAKEE C'S,,Recreational,General,Active,1987,,919692,6,Official Number (U.S.),UNITED STATES,176948
603096,N/A,,Recreational,Runabout,Active,1990,,CF9838JZ,12,State Number,UNITED STATES,176948
537286,MD 7404 AV,,Recreational,Runabout,Unknown,,,MD7404AV,12,State Number,UNITED STATES,176948
288198,MRS DIANA,WDJ3537,Commercial Fishing Vessel,"Trawler, Stern",Active,1987,,913279,6,Official Number (U.S.),UNITED STATES,176948
597760,CF5658PF,,Recreational,High Performance,Active,2002,,CF5658PF,12,State Number,UNKNOWN,282527
627904,UNSPEC.,,Recreational,Runabout,Active,1994,,MD8403D,12,State Number,UNITED STATES,176948
272713,DARK STAR,,Recreational,General,Active,1985,,695514,6,Official Number (U.S.),UNITED STATES,176948
298912,MARY'S NIGHTMARE,,Recreational,General,Active,1987,,923147,6,Official Number (U.S.),UNITED STATES,176948
508989,HA8439E,,Recreational,General,Unknown,,,HA8439E,12,State Number,UNITED STATES,176948
1074922,NJ5932HB,,Recreational,Runabout,Active,2009,,NJ5932HB,12,State Number,UNITED STATES,176948
504113,UNNAMED (LA4291EW),,Recreational,General,Unknown,,,LA4291EW,12,State Number,UNITED STATES,176948
519412,070-01,,Recreational,Runabout,Unknown,,,FL1570FX,12,State Number,UNITED STATES,176948
653375,DUPLICATE OF MARY C (550051),WDD6411,Commercial Fishing Vessel,Troller,Inactive,,2006-12-05T00:00:00-05:00,550051,5,Hull Number,UNITED STATES,176948
275606,FREEMARK,,Recreational,General,Active,1985,,903363,6,Official Number (U.S.),UNITED STATES,176948
1025849,NY8742998,,Recreational,General,Active,2002,,MUS20533F203,15,HIN,UNITED STATES,176948
560594,UNKNOWN VESSEL (AMEDIA STAR),,Tank Ship,General,Unknown,,,CG560594,13,Coast Guard Number,UNKNOWN,282527
1081768,VA1958BS,,Recreational,General,Active,2008,,VA1958BS,12,State Number,UNITED STATES,176948
593015,IL5039JE,,Recreational,Runabout,Inactive,1996,,ZZNZ3266K697,15,HIN,UNITED STATES,176948
580422,CF3169TM,,Recreational,General,Active,1981,,AVY00376M81H,15,HIN,UNKNOWN,282527
643486,MC5994FD,,Recreational,Runabout,Active,,,MC5994FD,12,State Number,UNITED STATES,176948
296459,HAPPY HOUR,WTC3159,Unknown,General 3,Active,1987,,923967,6,Official Number (U.S.),UNITED STATES,176948
503918,SIZE MATTERS,,Recreational,General,Active,1999,,1087184,6,Official Number (U.S.),UNITED STATES,176948
508762,LA PANICHE,,Recreational,General,Unknown,,,CG058022,13,Coast Guard Number,UNITED STATES,176948
280046,APRES-SKI,,Recreational,General,Active,1986,,906613,6,Official Number (U.S.),UNITED STATES,176948
636690,FL7568ME,,Recreational,Runabout,Active,2002,,SERT1527I203,15,HIN,UNKNOWN,282527
538146,NONE,,Recreational,Runabout,Unknown,,,MI4333AW,12,State Number,UNITED STATES,176948
589155,POSTAGE DUE,WBR5714,Recreational,Ketch,Active,1984,,XDYZ0311K485,15,HIN,UNITED STATES,176948
560944,MM 57B,,Tank Barge,Oil Cargo Barge,Active,2002,,1125483,6,Official Number (U.S.),UNITED STATES,176948
638315,BELIZE BREEZE II,,Recreational,General,Active,2001,,1145276,6,Official Number (U.S.),UNITED STATES,176948
530686,LA5461EM,,Recreational,Runabout,Unknown,,,LA5461EM,12,State Number,UNITED STATES,176948
643781,WN0114NJ,,Recreational,General,Active,1999,,PNYUSEAHJ900,15,HIN,UNKNOWN,282527
564976,AK2308P,,Recreational,General,Active,1999,,AK2308P,12,State Number,UNITED STATES,176948
533610,MC3565JX,,Recreational,Runabout,Unknown,,,MC3565JX,12,State Number,UNITED STATES,176948
509434,SEAGASM,,Recreational,General,Active,,,1090955,6,Official Number (U.S.),UNITED STATES,176948
1082680,WS1803GA,,Recreational,Runabout,Active,2000,,WS1803GA,12,State Number,UNITED STATES,176948
1130859,FL9660GP,,,,Active,1995,,FL9660GP,18,Official Number (Foreign),UNKNOWN,282527
221204,MOSLAVINA                       *,,Freight Ship,General 2,Active,1961,,5242512,2,IMO Number,UNKNOWN,282527
1124159,FL2233CD,,Recreational,General,Active,,,FL2233CD,12,State Number,UNITED STATES,176948
501262,TORTUGA II,WDA6502,Recreational,General,Active,1998,,1085544,6,Official Number (U.S.),UNITED STATES,176948
1058437,MC2852RF,,Recreational,General,Active,1996,,MC2852RF,12,State Number,UNITED STATES,176948
587045,NC2386NC,,Recreational,Runabout,Active,1996,,NC2386NC,12,State Number,UNITED STATES,176948
285776,BATTLEWAGON,,Recreational,General,Active,1980,,SAY500030380,5,Hull Number,"BAHAMAS, THE",176739
1138852,UNNAMED,,Recreational,General,Active,1993,,NY1321UH,18,Official Number (Foreign),UNKNOWN,282527
1116373,FL4617NJ,,Recreational,General,Active,2006,,PLCSV0200607,15,HIN,UNITED STATES,176948
271177,SEA CRAVIN,,Recreational,General,Active,1985,,900109,6,Official Number (U.S.),UNITED STATES,176948
518249,FL0327KN,,Recreational,Sloop,Unknown,,,FL0327KN,12,State Number,UNITED STATES,176948
615817,SHAKEY TIME,,Recreational,General,Active,2001,,1140390,6,Official Number (U.S.),UNITED STATES,176948
1093406,IL7183JY,,Recreational,Runabout,Active,,,IL7183JY,12,State Number,UNITED STATES,176948
511892,LATITUDES,WDE4773,Recreational,General,Active,2001,,1123562,6,Official Number (U.S.),UNITED STATES,176948
637374,FL0176MH,,Recreational,Catamaran,Active,2003,,FL0176MH,12,State Number,UNITED STATES,176948
1139659,NC8020CS,,Recreational,Runabout,Active,1996,,NC8020CS,12,State Number,UNITED STATES,176948
