activity_id,waterway_role,description,coord,brief,rc_coord,rc_is_bridge,af_coord,af_same_coordinates?,af_notes
7150562,Location,"Tom Bigbee River, MM 171","32.20638333, -88.01181667","At approximately 1700 on February 23, 2021 the T/V BIG A allided with the Naheola RR bridge at MM 171. At the time of the incident, the vessel was underway in the Tombigbee river with 7 people on board, and pushing ahead 5 barges (1 empty; 4 loaded). The Pilot onboard was flanking and the current pushed the vessel near the bridge. As the lead barge passed under the bridge, the Pilot realized that the vessel would not clear, but it was too late to maneuver the vessel to avoid allision. As a result, the T/V BIG A sustained damage to the pilot house radar scanner and radio antennas, and both search lights. After a survey was completed, it was revealed that the damage total estimated to be $125k. There was no damage to the bridge which was verified by the bridge operator.","32.237474695639946, -88.01533955462044",bridge,"32.23771814338196, -88.01538372313068",yes,
6999483,Location,MM 11 TNR,"37.04084151, -88.4429512","On 07JULY2020 at approximately 1237 hours, ITV GEORGE LEAVELL reported a barge breakaway at MM 11 TNR involving 25 barges from WEPFER FLEETS 3 & 5. At least four barges struck the left descending channel pier of the Ledbetter Bridge at 5.7 TNR, causing damage to all four barges. All involved barges were recovered and brought back to the fleeting area. Upon examination, it was found that the fleet that initially broke away was secured using very old wire (approx. 20 years old) and the wire failed.

Coast Guard investigation determined the initiating event to be the Breakaway. Contributing factors include: 1) the parting of the old wire used to secure the fleet.","37.0336056202526, -88.52439444675208",bridge,"37.03403090126978, -88.52453018588452",yes,the ledfetter bridge was demolished in 2014? This is the replacement...but is the old one still up? Which bridge? 
7269962,Location,Location of Lower Peking R/R bridge.,"40.56016259, -89.66482799","At 0141 LCL WRCC received notification from the ITV Carl Cannon (pushing 13 loads 12 dry cargo ,1 R/F) The report that while transiting through the Lower Pekin R/R bridge the allided with their LDB sheer protection cell. No damage to vessel or barge. Minor damage to bridge pylons reported. Phone investigation conducted. CG-2692 requested and received. Agency Action complete.","40.55406245783171, -89.67537887033299",bridge,"40.554330, -89.675470",yes,
7644239,Location,Lake Borgne,"30.1507663, -89.61463265","On December 31, 2022 at approximately 1201 local time, the inspected towing vessel (ITV) RENEE T WHATLEY (ON 1194317) while pushing 2 empty red flag barges, allided with the CSX Railroad Bridge at the Rigolets near the west side of Lake Borgne. The vessel was transiting the ICW westbound destined for Magnolia Fleet. No damage was reported to the barges. The bridge sustained damages to the fendering system, initially estimated at $100k; the bridge had no mechanical damages and remained operational.

After setting up on the east side of the bridge for its opening, the bridge operator notified the RENEE T WHATLEY of a fishing vessel also passing through the span of the bridge. While transiting with decreased space for maneuvering, the current began setting the lead barge of the tow to starboard, making contact with the bridge's fendering system.

As a result of its investigation, the Coast Guard determined that the cause of the allision was the environment; a current on the stern of the tow drifted the lead barge towards the fendering system while the vessel was passing a fishing vessel in the fog. D8 Bridge Branch and the Bridge Owner were notified.","30.156262204587534, -89.62861412712142",bridge,"30.156724458650316, -89.62787081970535",yes,
6761644,Location,MM 59,"30.37455, -91.64161667","On 21 May 2019, the towing vessel LAVACA allided with the cement pillar on the west side of the center span of the I-10 bridge at mile marker 56 while going southbound on the Atchafalaya River.  The vessel was pushing ahead two loaded barges, the HTCO 3096 and Kirby 29138.  The two barges broke away after the allision but were quickly recovered and secured.  There is a scratch on the bridge and two dents on the lead barge on the port side.  There was no damage done to the towing vessel and no injuries involved. There were four members on board during the time of the incident.","30.36514058, -91.63809398",bridge,"30.36709063166695, -91.63830628550737",yes,
6878156,Location,"MM 422 MOR Atchison, KS","39.55014966, -95.11248815","The ITV GENERAL ASHBURN (ON 643918) was transiting down bound on the Missouri River (MOR) Mile Marker (MM) 422 with 02 empty dry cargo barges in a side by side tow, drafting 1'. The port barge ART 46012 (ON: CG937036) allided with the up-river span of the open Atchison Railroad Drawbridge (swing bridge). The out draft by the center swing pier was more than the Master anticipated and he did not make the proper course correction to avoid alliding with the bridge. Minor scrapes to the ART 46012 fiberglass cargo front cover and a dent in the coaming. No damage to the Atchison Railroad Drawbridge. High water and currents in the area contributed to the higher than normal outdraft IWO of the bridge. The GENERAL ASHBURN continued on its transit down bound.","39.56012663137743, -95.11282293532848",bridge,"39.560145652668645, -95.112694363291",yes,
7719120,Location,Location of breakaway - Weber fleet LMR MM 167.5,"30.10145487, -90.91109856","At approximately 2143 on 16 FEB 2023, 13 loaded dry cargo barges broke free from WEBER Fleet at MM 167.5 LMR.  The barges broke free after a severe thunderstorm storm passed by in the area.  The barge SCF 24304B and SCF 1021B allided with the Sunshine bridge causing damage to both barges but no damage to the bridge.  The SCF 24304B sustained damage to #3 void resulting in an inset and fracture below the waterline and the SCF 1021 B sustained a small fracture above the waterline. All barges were recovered and placed back in the fleet.

Through its investigation, the Coast Guard determined that the initiating event to be the breakaway of 13 WEBER Fleet barges with the subsequent event of two barges alliding with the sunshine bridge. The causal factor that contributed to this casualty include: (1) Severe thunderstorms in the area with high winds. (2) No defense in place to prevent the barges from drifting into the bridge once they broke free.",", ",bridge,"30.098108486953823, -90.91370210612277",yes,
6716172,Location,MM 118 UMR,"37.96933333, -89.9425","On 11 May, 2019, Southern IL Transfer Services had 3 barges breakaway from their moorings at their facility on the Upper Mississippi River (UMR) at approximately mile marker (MM) 118 UMR. The river water was higher than normal due to flooding, causing the current to be much faster than normal, which is believed to have caused the barges' moorings to fail. Barge LNA204R (O.N. 1241055), a loaded stone barge, allided with the Chester Bridge at MM 110, and suffered a small fracture in the hull at the #3 void tank on the starboard side, allowing water to slowly ingress into the tank. Barge LNA179B (O.N. 1241053), a loaded stone barge was adrift, but was recovered with no damage. A deck barge, SM14 was adrift, but was recovered with no damage. The LNA204R was taken to a shipyard for repairs, the other 2 were returned to the facility. No further damage, pollution, or injuries.","37.90265686, -89.83677989",bridge,"37.90227792800569, -89.83707858859127",yes,
6612921,Location,"Sunshine Bridge, LMR","30.09838669, -90.91148629","On January 20, 2019, the towing vessel BARBARA ANN was underway, having just left Weber Fleet at mile 167, pushing two loaded tank barges. The BARBARA ANN was intending to back down through the Sunshine Bridge and then top around in the river below the bridge.  As the vessel was falling with the current, the tow started to swing out and the Captain decided to let it continue to swing and attempted to top around above the bridge, instead of below like originally planned. At approximately 1115, the port bow of the lead barge (K29051) made contact with the center span of the Sunshine Bridge.

The K29051 sustained damage to the port head log. The wooden fender on the bridge pier was damaged and a small scrape was observed in the cement.

As a result of its investigation the Coast Guard determined the initiating event for this casualty was the allision between the K29501 and the Sunshine Bridge pier. This was followed by the damage to the barge and the bridge fender system.  The casual factors that contributed to this casualty include: (1) the Lower Mississippi River being in a major flood stage causing stronger river currents and dynamic eddies and (2) the Master's incorrect assessment of how much distance the tow would need to clear the bridge pier.

Conducted descoped Investigation of vessel allision - accepted Master attestation & supplementary documentation in lieu of on-scene investigation due to low risk incident.",", ",bridge,"30.098108486953823, -90.91370210612277",yes,
7120323,Location,ICW Bryant Patton Memorial Bridge.,"29.68270143, -84.87834654","On or about 0600 20Dec2020, the Lady Edwina pushing HBM 4127 was involved in a bridge allision with the St. George Bridge Island Bridge fender system.  The captain  informed Station Panama City, no notice was given to MSD Panama City until the 22Dec2020.  Made contact with the vessel which was already in route to Tampa.  The damage to the fender system was told to be about 35feet of the north section of the wooded structure damaged. The damage dollar amount was not known at this time.  The Captain stated there was no damage to the barge HBM4127.  On the 29Dec2020 made contact with the Captain and informed him that our office still did not receive the 2692 for the Marine Casualty.  On 30Dec2020 our office was notified that the possible cost of the repair to the fender system could be upwards of 750,000, but this was just a rough estimate and a formal estimate would take some time to be calculated and giving to our office.

On the 04Jan2021, I made contact with the parent company La Carries, LLC and talked with the operations manager and informed him our office still had not received a 2692 and asked if alcohol and drug testing was conducted for this casualty.  He then had the HSE Director contact me via email with the 2692's and we discussed the the reason for the company not conducting drug and alcohol testing after the allision.  He stated to me that he was informed this was not a Serious Marine Incident and did not meet the 200,000 dollar threshold.  I informed this looks to be a SMI and that drug and alcohol testing should have been conducted.  At the time our office was notified of the allision was over 48 hours had past since incident.  I educated him on the companies responsibility of the drug and alcohol policy and he understood and apologize for not taking action after the allision.

06Jan2021, Contacted an employee of Ferrovial Services to see if the responsible party had made contact with him about the allision.  He stated they did and are working together to resolve the issue of repairs to the fender system. The employee said he would keep us informed on the progress of the repairs and final cost.

As a result of its investigation, the Coast Guard has determined that the initiating event was the allision of Barge HBM4127 being pushed by the Lady Edwina into the St. George Bridge Island Bridge fender system north middle section directly under the bridge span.  The causal factor was determined that the Master did not factor the current and which allowed the barge to hit the fender system.  The allision caused the approximately 35ft of the fender system was damage and is need of repair. The level of investigative effort met the requirements of a informal investigation.",", ",bridge,"29.69572836151163, -84.88837231903165",yes,
7580619,Location,Long Island Swing Bridge - MM 666 on GICW,"26.07081848, -97.20169748","On October 17, 2022, the POSEIDON BARGE was being moved to the laydown yard in preparation for incoming inclement weather when the vessel being used to push it suffered a loss of propulsion.  The POSEIDON BARGE then drifted and made contact with the approach ramp that allows vehicle traffic to get onto the floating Long Island Swing Bridge.  The only damage as a result was a crushed 2 inch PVC waterline that supplied water to a water hose.  There was no damage to the floating bridge itself, nor to the barge.  Cost of repair to the damaged waterline was estimated to be less than $50.",", ",bridge,"26.070913882177123, -97.20157825275015",yes,is this bridge not in our data?
7405374,Location,"Capital Sand Dock, MM 317 MOR","39.19069788, -93.89349505","27FEB2022:

At approximately 1430 local time, the towing vessel LESLIE ANN (O.N. 571629), carrying two loaded dry cargo barges, lost throttle control as it approached the dock at its facility on the Missouri River (MOR), mile marker (MM) 317.4. It had been making runs that day to and from the company’s dredging operation at MM 326.5 on the MOR. The lead barge in tow (CSC 17; O.N. 1041149) came around under the current of the river and made contact with an empty sand barge (SAND BARGE-26; O.N. CG1715288) that was moored to the dock, breaking it free of its mooring. LESLIE ANN troubleshot the issue and followed the SAND BARGE-26 as it drifted downriver towards the Lexington car bridge at MM 314.9 MOR. At approximately 1500 local time, the SAND BARGE-26e made contact with the Lexington car bridge on its pier on the right descending bank, resulting in minor damage to the barge and no damage to the bridge. By the time of the allision, LESLIE ANN had successfully restored throttle control, after which they corralled the empty barge and brought it back to their dock where it was safely moored. LESLIE ANN crewmembers found that the batteries powering the throttle controls had lost power. Battery chargers were replaced and op-tested with satisfactory results.","39.20974746367663, -93.86342629270506",bridge,"39.20993741530682, -93.86363191303244",yes,
6972069,Location,IVO Huey P Long Bridge,"29.93476667, -90.18068333","On 3 June 2020 at approximately 2200 hours, the ENERGY (U.S. flagged inspected towing vessel) was working in the Lower Mississippi River in the vicinity of the Huey P. Long Bridge with two barges (MBL 418 & RCC 700. As the Master proceeded to shift the barges in order to rearrange the tow temporarily, the  ITV THOR MAXIMUS (U.S. Flagged ATB) came by and the vessel's wake caused the failure of the towing wires and the two barges to break free. The barge (RCC 700) drifted down the river and allided with the protection fender on the Huey P. Long bridge.

Bridge fender and barge sustained minor damage. Initial damage estimated at 30K.

As a result of its investigation the Coast Guard determined the incident is a reportable marine casualty as defined in 46 CFR part 4 as the vessel allided with a bridge.","29.943862084264495, -90.16890258317723",bridge,"29.943765702934133, -90.16863815186774",yes,
7649513,Location,Lower Mississippi River mile marker 661.7,"34.48633333, -90.59166667","WRCC received notification from ITV CHARLES REID PERRY (ON: 1243637/Marquette) stating they were transiting N/B at MM 661.7 LMR, when their STBD lead barge (MTC 6231) allided into the Helena HWY Bridge's alt span, due to the strong currents in the area. ITV CHARLES REID PERRY reported broken wires to only the STBD lead barge, but no significance of a breakaway or blockage of the waterways.  ITV CHARLES REID PERRY is still transiting N/B with 28 empty dry cargo barges to MM 679 LMR, where the ITV will meet up with the SLMR IO to conduct an O/S investigation and damage assessment around 0830 LCL.  ARDOT has been notified of the allision and will be sending an inspector out to assess the bridge, bridge still remains fully operational, no other pollution or injuries to report.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the vessel's tow being set to the starboard side of the bridge. This was followed by the vessel's tow alliding with the bridge.","34.496400692110335, -90.58760332496648",bridge,"34.49664945585908, -90.58762527700252",yes,
7643446,Location,Approx. location,"32.38333333, -88.01666667","On February 20, 2023, at approximately 1526, the ITV TEMPLE HUCKABEE (537180) was pushing ahead eight (8) loaded hopper barges along the Tombigbee River.  Upon approaching the Nahoela Bridge the Master set up a flanking maneuver, but encountered an unexpected strong current causing the tow to slow.  The Master eventually realized that the starboard string was not going to clear the bridge piling so he placed the throttle in full astern in an effort to lessen the impact with the bridge pillars.

The starboard lead barge made contact with the bridge piling causing multiple barge lines to part.  The Master then positioned the tow up river to replace the parted wires.  Once the wires were replaced by the crew, the vessel and accompanying tow proceeded to the intended destination.  No damage was noted to the bridge.

As a result of its investigation the Coast Guard has determined that the initiating event for this casualty was the allision of the ITV TEMPLE HUCKABEE starboard lead barge and the Nahoela Bridge. The causal factor that contributed to this casualty was strong current encountered at the bridge passing.","32.237474695639946, -88.01533955462044",bridge,"32.23771814338196, -88.01538372313068",yes,
7600467,Location,MM 838 LMR,"36.10883333, -89.62783333","WRCC RCVD a report from the ITV TIM P STUDDERT (O.N. 1064025) that they ran aground and allided with the I-155 bridge at MM 838.9 LMR causing the 27 loaded dry cargo barges and 01 resin oil barge to breakaway. The barges are still together and nestled against the bridge and Right Descending Bank. No damage, pollution, or injuries reported.

UPDATE 1/FINAL: ASSIST VESSEL LOU DRAPER removed 8 barges from the breakaway tow and moved them to Cottonwood Point Fleeting area. ITV TIM P STUDDERT tied off to the remaining 20 barges and took them to Cottonwood Point to finish rebuilding the tow. TDOT Bridge Inspectors completed their Post-Incident Inspection only minor scraping with no damage to structural integrity. WRCC conducted conference call with SLMR MI/WWM/SD/SC. SC authorized reopening to Southbound Traffic the closure at LMR MM 833-843 for this case as well as the closure at MM 848-860. SLMR intends to let southbound queue get to a manageable level before opening both closures to both directions following rules of the road.  WRCC/SLMR continues to monitor for traffic.

Investigation revealed the master was unaware of the strong currents in the area, set up for bridge passing wrong causing the vsl to allide with the I-155 bridge.",", ",bridge,"36.11455002289938, -89.61212646232278",yes,is this bridge not in NBI? Are the coordinates just wrong?
6796412,Location,I-10 hwy bridge,"30.38478333, -91.65285","On 20 August 2019 at approximately 1645, the towing vessel HERBERT J. PLAISANCE allided with the west side of the east span of the I-10 bridge at mile marker 58.  The vessel was headed southbound on the Atchafalaya River pushing ahead six loaded barges filled with rocks.  There was no reported damage to the bridge or the vessel.  The barge FMTA 102 received a dent on the port bow above the waterline with an estimated damage cost of $8000. No pollution or injuries were reported.","30.36514058, -91.63809398",bridge,"30.36605765824218, -91.63770459031961",yes,
7185688,Location,APALACHICOLA BAY,"29.67800534, -84.87490375","At approximately 0410 April 29, 2021, the ITV TREY Paul, pushing 2 barges loaded with scrape steel, made contact with the fendering system of the Bryant Grady Patton Bridge in Apalachicola, FL. The ITV was westbound in the ICW when the current set the barges to the south and made contact with the sandy bottom on the south side of the channel. The Master went to the pilothouse and was able to back the barges off the ground and proceeded to swing the barges back into the channel and under the bridge. In the process of swinging the barges around, the starboard bow of the HBM 4158 made contact with the last piling of the bridge fendering system, resulting in minor paint scraps on the barge and the piling to lean at 20 degrees. The crew checked all the void for ingress of water with no evidence of damage or water intrusion.

Spoke with DOT surveyor company who estimates total cost of the repairs to be between 100-150 thousand dollars. However, it might be less do to repairs company onscene fixing north side of fendering system.

As a result of its investigation, the Coast Guard has determined that the initiating event was the grounded on the soft, sandy bottom and the sequential event was the bridge allision to the fendering system. The level of investigative effort met the requirements of an informal investigation.",", ",bridge,"29.71257408351738, -84.89228545750672",yes,
7335595,Location,Bayou Sorrel Swing Bridge,"30.14217559, -91.32450199","On March 23th, 2021 the towing vessel TREY DELOACH (O.N. 517110) was underway northbound on the Morgan City Port Allen Route near mile marker 37 pushing 6 dry cargo hopper barges loaded with salt in a 2X3 configuration. At approximately 1000, the vessel was navigating through the Bayou Sorrel swing bridge.

The vessel was swinging to port, master attempted to stop the swing of the barges unsuccessfully. The port bow barge made contact with the guide wall and broke two wall timbers.  The master notified the USCG and bridge tender. All barges were inspected by the vessels crews and no signs of damage or water ingress were noted. LADOT reported 10K in damage for the broken timbers. No pollution, or injuries resulted from this casualty.

Through its investigation, the Coast Guard determined that the initiating event to be allision and subsequent event of damage to guide wall. The causal factor that contributed to this casualty include: (1) Master failed to stop the swing of the vessel while lining up to transit the bridge.","30.155491693329818, -91.33154688386078",bridge,"30.155452261017984, -91.33154115937573",yes,
