activity_id,lat,long,brief,STUSPS,NAMELSAD,waterway_name,facility_name_ls,vessel_name,latlong_str
6625760,30.73747,-88.04462,"On February 8, 2018 the towing vessel RANDY BAYGENTS was pusing ahead 3 empty hopper barges enroute from Theodore, AL to Chickasaw Creek. The prevailing currents were approximately 1.12 kts at 173 degrees and the prevailing winds were 21 mph. When the strong winds and current, the master of the RANDY BAYGENTS observed the vessel being set to toward the southern /downbound pillar of the Chickasaw railway bridge. When the master attempted to correct the swing of the barges/towboat, the coupling on the lead barge (PTC 625) broke and the barge struck the bridge. The barge ran over the fendering system and the bridge was pushed by the barge 20-30 ft past its capabilities. Significant damage was sustained on the bridge, and the barge suffered damage on its port side above the water line.

The Coast Guard has determined the initiating event to 1) the RANDY BAYGENTS allsiion with the Chickasaw Railway Bridge.",AL,Mobile County,['MOBILE'],['Chickasaw AL-BN Railroad Bridge'],"['RANDY BAYGENTS', 'PTC 625']","30.73747,-88.04462"
6631583,34.49638,-90.58723,"At approximately 0450 hours CST on February 23, 2019 the M/V ARDYCE RANDALL was up-bound with 18 hopper barges (1 loaded scrape, 17 empty) near the Helena Bridge at MM 661 on the Lower Mississippi River.  The vessel was passing under the alternate span nearest the LDB.  The vessel and barges were in slack water till the head of the tow passed under the bridge span and into a current setting the tow towards the LDB.

The pilot steered towards the LDB when he realized the tow set was unrecoverable due to the current.  One barge, ART 35165, made contact with the apron of the bridge piling leaving an approximate 6 foot scrap and setting the barges starboard side plating in 1 inch over 5 feet.

Investigation revealed that the pilot was unaware of the current set during high water conditions under the Helena Bridge.  The set was not expected and the pilot was not ready to respond to the tows movement towards the LDB and bridge piling.",MS,Coahoma County,"['MISSISSIPPI-LO', 'MISSISSIPPI-LO']",['HELENA BRIDGE'],"['ARDYCE RANDALL', 'ART 35165']","34.49638,-90.58723"
6633634,29.69656,-91.21433,"On 26 February 2019, the towing vessel MAXX B was southbound on the Atchafalaya River pushing 6 loaded dry cargo barges approaching the Highway 182 bridge in the Vessel Traffic Area. At approximately 2137, the current set the MAXX B and tow to the west and the lead barge of the MAXX B allided with the western leg protection cell of the Highway 182 Bridge. The allision caused the port and starboard strings to break apart.  Assist vessels in the area helped to remake the tow and the vessel pushed in to await responders.  At approximately 0400, the master that was at the wheel at the time of the allision, called in to Vessel Traffic Service Berwick Bay to report that he had left the vessel because his merchant mariner credential had been suspended in November of 2018.  Sector New Orleans confirmed the master's credential was suspended in November of 2018 for a period of 24 months.  The master was not on the vessel by the time the Coast Guard duty teams responded at first light.

There was no damage to the bridge and only minor dents to the lead port barge that did not require repair.",LA,St. Mary Parish,[nan],['HWY 182 Bridge'],"['MISS ELIZABETH', 'MR. LUKE', 'MAXX B']","29.69656,-91.21433"
6633712,29.94346,-90.16841,"At approximately 1330 local time on January 24, 2019, the inspected towing vessel (ITV) STEVE RICHOUX was transiting southbound on the Lower Mississippi River, when it experienced an allision with the Huey P. Long Bridge at MM 106, causing no damage to the fendering system of the bridge pier, and damage to 2 loaded dry cargo barges.

The STEVE RICHOUX (lead vessel) and tow assist vessel PAMELA ANN were working together (STEVE RICHOUX port vessel, PAMELA ANN starboard vessel) with 5 barges total: 3 cement powder barges as the port string of barges (STEVE RICHOUX), and 2 cement powder barges (LSI 1526 & SL 403) as the starboard string of barges (PAMELA ANN). The load was picked up by the vessels from a barge fleeting location approximately 1000 feet north of the Huey P. Long Bridge on the right descending bank of the river. Both vessels and their tow headed upriver to perform a topping around maneuver before attempting to navigate through the Huey P Long Bridge. As the tow headed southbound towards the bridge, the tow was not properly lined up to safely pass through the bridge and allided with the fender. Neither towing vessel nor the fendering system was damaged. There is no evidence that drug or alcohol usage was a factor in this incident.

As a result of its investigation, the Coast Guard determined that the initiating event for this casualty was the allision followed by the material failure (structural damage) to the barges striking the bridge. Contributing factors to the allision included 1) high water river conditions, 2) failure to allow adequate distance to maneuver tow, and 3) inadequate communication with assist vessel.

This incident met the criteria for a reportable marine casualty and the level of effort was an informal investigation.",LA,Jefferson Parish,['MISSISSIPPI-LO'],['HUEY P LONG BRIDGE'],"['PAMELA ANN', 'STEVE RICHOUX', 'SL 403', 'LSI 1526']","29.94346,-90.16841"
6633794,32.31478,-90.90561,"On February 27th, 2019 the ITV CHAD PREGRACKE, a 173' twin screw 9300 hp towing vessel, was underway down bound pushing a tow of 30 dry cargo barges (five long by six wide) near mile marker 436 on the Lower Mississippi River. Due to the lack of set past Browns Point, the Trip Pilot made the decision to steer the Hwy 80 / Railroad Bridge, instead of flanking.  While the Trip Pilot was coming ahead on the engines in an attempt to bring the tow through Span 3 of the Hwy 80 / Railroad Bridge, the tow started to swing towards the east bank and at approximately 0711L the second barge out from the port string (CC-95507B) made contact with Pier 3 of the Hwy 80 / Railroad Bridge. 

The initial contact broke the couplings all the way across the tow allowing all 30 barges to break free. After all barges broke away the CC-95507B began to sink in the vicinity of Pier 3.  Barge MTC-825B began to slowly sink and head toward the power plant located at MM 433.  Barges CC-95523B and LTD 405 began to sink and ended up at MM 428 and 429, pushed in by an assist tug on scene.  All other 26 barges floated down river before being rounded up by Ergon Marine assist vessels. 

As a result of its investigation, the Coast Guard has determined the initiating event for this casualty was due to the river being at flood stage and still rising, the trip pilot did not expect to be set as early as he did with the bridge, which allowed for the tow to drift towards the bridge during the transit through.   This was followed by the eventual allision and flooding of the CC-95507B, MTC-852B, CC-95523B and the LTD 405. The casual factors that contributed to this casualty include: (1) the lack of experience by the trip pilot on this particular type of ITV and pilot deciding to steer the bridge rather than flank the bridge.",MS,Warren County,['MISSISSIPPI-LO'],['VICKSBURG RAILWAY AND HIGHWAY BRIDGE'],"['CC 95523B', 'LTD 405', 'MTC 852', 'CHAD PREGRACKE', 'CC 95507B']","32.31478,-90.90561"
6637984,41.3216,-89.084,"On February 17, 2019, at approximately 1425 (local) the Inspected Towing Vessel JOSEPH PATRICK ECKSTEIN (O.N. 600552) was pushing 15 dry cargo barges (12 empty and 3 loaded) southbound on the Illinois River. The starboard lead barge, LTD 612 (O.N. 1122964), allided with the Illinois Central Railroad Bridge protection cell at MM 225.5 while attempting to transit underneath. The operator stated the speed of the tow was such that attempts to provide astern propulsion to avoid allision were unsuccessful.  

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the operator's misjudgmentment of the prevailing weather and current conditions, while making the LaSalle bend and lining up for the bridge. The allision caused 10 tow wires to severe, (5 boat wires, 2 face wires, 3 spectra wires). There were no further reports of any damage to the barge.",IL,LaSalle County,['ILLINOIS'],['ILLINOIS CENTRAL RAILROAD BRIDGE'],"['JOSEPH PATRICK ECKSTEIN', 'LTD 612', 'RIVER SPIRIT']","41.3216,-89.084"
6638286,29.94428,-90.16832,"On 04 MAR 2019 at approximately 0345 local time, the T/V JOHNNY SR was headed downbound with 6 barges (5 empty, 1 loaded w/ pipe). The master stated that he was topping around after leaving ACBL Harahan Fleet to go southbound in the Lower Mississippi River and got more than half way around (full rpms to port) and before the tow had finished the turn and was completely pointed southbound the port face wire broke. After the facing wire broke, the only thing keeping the JOHNNY SR connected to the tow was a loose starboard facing wire and a safety line that was tied to the bow. Soon after the facing wire break, the tow stopped turning to the port due to a wind coming from the port side. 

The JOHHNY SR and its tow drifted down river and the port stern of the port lead barge made contact with pier I of the Huey P. Long Bridge. The JOHNNY SR was then assisted by the assist tugs HAROLD R ZEISLOFT and the SAFETY PRIDE to reattach the barges @ MM 105.5 AHP. The JOHNNY SR then dropped off the barges at ACL Harahan (MM 107 AHP) for reassembly. Damage to barge is minimal, and pier is splintered. No damage was reported to the barge and only minor damage was reported to the bridge. Damage amount is estimated at $20,000.

As per 46 CFR 4.05-1 (a) (1), this incident met the criteria of a reportable marine casualty, as it involved an unintended allision with a bridge. The level of investigative effort met the requirements for a Data Collection.",LA,Jefferson Parish,['MISSISSIPPI-LO'],['HUEY P LONG BRIDGE'],"['JOHNNY SR', 'MEM 94104']","29.94428,-90.16832"
6638633,41.71813,-87.54317,"On March 07, 2019, at approximately 2007, the ITV REBECCA LYNN (O.N.296818) was pushing the tank barge A-390 (O.N. 649264) southbound on the Calumet River, and had just passed under the Norfolk Southern Railroad Bridge at mile marker 331.8 when they suffered a loss of steering and allided with a protection cell for the Chicago Skyway Bridge at mile marker 331.7, causing minor damage to the STBD bow rake of the A-390, and minor damage to the protection cell. After cycling through both the vessel's primary and auxiliary steering pumps, and from follow-up to non-follow up steering modes several times, the master was eventually able to regain control of the REBECCA LYNN's steering. With the steering operational, the master continued southbound and completed the voyage to Asphalt Operations Service of Chicago, located at mile marker 330.5, where they were able to safely moor.

As a result of its investigation the Coast Guard has determined that the initiating event for this casualty was the failure of the directional control valve in the steering system which caused the towing vessel's rudder to get stuck in the STBD position. The casual factors that contributed to this casualty include: (1)Internal components of the directional control valves in the hydraulic steering system were worn/deteriorated, (2)Preventive maintenance procedures for lab testing of the steering system hydraulic oil were inadequate to ensure the oil was free of particulates which could cause wear/deterioration to internal components of the directional control valves, (3) Company did not conduct adequate preventive maintenance/inspection of the steering system directional control valves and internal components which were subject to wear/deterioration.",IL,Cook County,['IL WWY SAG'],['CHICAGO SKYWAY BRIDGE'],"['REBECCA LYNN', 'A-390']","41.71813,-87.54317"
6640057,32.3137,-90.90655,"M/V GALE C 9000 HP (Ingram Barge Co) with 35 dry cargo barges in tow (03 loads, 32 empty) NB reported an allision with the I-20 highway bridge at MM 435.7 LMR. The captain of the vessel stated that due to the high water level, approximately 02 feet of the vessel mast touched the steel structure of the bridge bending the mast down as the vessel went NB under the bridge. The captain of the vessel stated that there is no damage to the bridge structure or the vessel with the exception of the top 02 feet of the mast being bent down. MSD Vicksburg DMI conducted an investigation and is issuing an 835 requiring the mast to be repaired. 

As a result of the investigation, the Coast Guard has determined that the initiating event for this casualty was bridge allision due to high water.",MS,Warren County,['MISSISSIPPI-LO'],['I-20 HIGHWAY BRIDGE'],['GALE C'],"32.3137,-90.90655"
6641910,31.49452,-87.90739,"On March 08, 2019 at approximately 2040, the 125 foot towing vessel, the RIVERS WILSON (O.N. 275810) departed the Cooper Fleet and was transporting six hopper barges northbound on the Tombigbee River with the end destination of Tuscaloosa, Alabama. The Tombigbee River was experiencing historically high waters and there were specific concerns raised over the water conditions in the vicinity of the Norfolk Southern Bridge in the vicinity of Jackson, Alabama.

On March 09, 2019 at approximately 2300, the pilot relieved the master and began to make preparations to approach the Norfolk Southern Railway Bridge. The pilot was operating the RIVERS WILSON using a full throttle command (estimated to be 770-800 RPMs) and was making 1.5-2.0 MPH. The Pilot contacted the bridge tender to request a bridge opening, the bridge tender responded that the bridge was open and the RIVERS WILSON could proceed. As the RIVERS WILSON was approaching the bridge and began to enter the opening, zero headway was being made, instead the vessel was making 1.4 MPH to port. The RIVERS WILSON and its tow then swung to port and allided with the Norfolk Southern Bridge resulting in approximately $4.8 million in damage.

As a result of its investigation, the Coast Guard determined the initiating event to this marine casualty to be when the RIVERS WILSON stopped making headway and allided with the Norfolk Southern Bridge. Causal factors contributing to this marine casualty were: (1) Failure of the Pilot to properly interpret Rosepoint navigation information, (2) Inadequate vessel horsepower required for high water/fast current conditions, (3) Failure of the Pilot to have adequate speed going through the Jackson Railway Bridge, and (4) Failure of USCG Sector Mobile to have a Waterways Action Plan.",AL,Clarke County,['TOMBIGBEE'],['Jackson RR Bridge'],"['RIVERS WILSON', 'TOUAX 956 B', 'PTC 851']","31.49452,-87.90739"
6642311,41.65068,-87.62075,"On March 12, 2019, at approximately 0525, the ITV AGGIE C (O.N. 585929)was pushing a tow of 04 loaded uninspected dry cargo hopper barges northbound on the Little Calumet River and had just passed under the Canadian National Railroad Bridge (formerly the Illinois Central Railroad Bridge) at MM 322.2, and was lining up to pass under the Indiana Ave Bridge at MM 322.3 when one of the barges in tow (the IN005020) allided with the foot of the Indiana Ave Bridge. The Master of the vessel was at the helm at the time of the allision, and reported the casualty to the USCG Sector Lake Michigan Command Center. The Master reported that as a result of the allision, some concrete had chipped off of the foot of the Indiana Avenue Bridge. The Master also reported an estimated 3’ W x 4’ L x 1' D set-in on the port corner of the foward rake of the IN005020. There were no reported injuries and no reported damage to the ITV AGGIE C or the other three barges in tow.

As a result of its investigation the Coast Guard has determined that the initiating event for this casualty was the dry cargo barge IN005020 alliding with the north pier of the Indiana Avenue Bridge. The casual factors that contributed to this casualty include: 1)The Master dozing off at the helm due to illness/fatigue, 2) the elapsed time between the Master dozing off and the IN005020 alliding with the Indiana Avenue Bridge was too short to be detected by the Bridge Navigation Watch Alarm System on board the AGGIE C, and 3) The AGGIE C was not outfitted, or required to be outfitted, with a collision avoidance alarm system. Case has been referred for enforcement.",IL,Cook County,['IL WWY SAG'],['INDIANA AVE. BRIDGE'],"['IN005020', 'AGGIE C']","41.65068,-87.62075"
6642387,36.01775,-87.99964,"On 13MAR2019 at approximately 20:00, the ITV WILLIAM NECKEL (Tennessee Valley Towing., 556497, 3000HP) was up bound at MM 100 TNR (Johnsonville, TN) pushing 12 loaded barges (7 CAUSTIC SODA, 5 GRAIN) in a 3x4 tow configuration. The port side of the tow allided with the Hickman-Lockport Memorial (I-70 Highway) bridge RD pier damaging the IB-9514. 

A vessel crewmember states that the allision occurred due to strong current setting the vessel to port.  As the vessel began to top around, the master pushed the tow toward the right descending bank to intentionally ground the tow.  The tow went aground and became pinned broadside by the current against the bridge with the stern barge against the pier.  

The investigation determined that the initiating event was the allision of the IB-9514 with the Hickman-Lockport Memorial Bridge.  Subsequent event includes the grounding of the ITV WILLIAM NECKEL's tow on the right descending bank.",TN,Humphreys County,['TENNESSEE'],['Hickman-Lockhart Highway Bridge (US Hwy 70)'],"['IB9514', 'WILLIAM NECKEL', 'IN115538', 'IN126428', 'IN164458']","36.01775,-87.99964"
6642419,40.358,-79.84297,"On 12FEB2019, the inspected towing vessel PAUL MCGINNESS (ON 577517) reported an incident that occurred at approximately 1115 hrs local time while the vessel was pushing ahead 3 loaded (single string, 3 long) uninspected limestone barges down bound in the vicinity of mile 14 of the Monongahela River just upstream of the Union Railroad and McKeesport-Duquesne Highway Bridges.  The master of the vessel reported the vessel experienced heavy currents and winds from the port side which caused a port-side winch wire and synthetic line connecting two barges to part.  After the parting of the port-side wire and line, the starboard side was subjected to increased forces that ultimately broke the starboard winch wire and line which resulted in the lead two barges separating from the tow and drifting down river unattended.

After the parting of the lead two barges, both the barges floated down river, under both bridges, and reportedly did not allide with either bridge.  Both of these barges floated downstream to approximately mile 13.8 of the Monongahela River before grounding along the right descending bank.  Meanwhile, the master of the PAUL MCGINNIS managed to navigate under the bridges with the single loaded barge, but made incidental contact (barge vs bridge) with the Union Railroad Bridge.  There was no damage observed to either the bridge or the barge.  Both grounded barges were recovered from downstream where they had grounded.  Checks were made of both grounded barges and one was found to have a slight leak, but suspect the leak to this uninspected barge was pre-existing and not related to the grounding.  This leak was determined to not affect the barges fitness for service and route.

Recommend this standard investigation be closed with no further referrals.",PA,Allegheny County,['MONONGAHEL'],"['MCKEESPORT-DUQUESNE HIGHWAY BRIDGE', 'UNION RAILROAD BRIDGE']","['PAUL MCGINNESS', 'ABC 9013', 'GREER 101']","40.358,-79.84297"
6646064,37.86237,-87.41288,"On March 13, 2019, at approximately 2120 Eastern Standard Time (EST) the towing vessel ALICE was pushing four loaded coal barges down bound when it allided with the Spottsville Rail Road Drawbridge. The vessel locked through Lock & Dam 1 on the Green River and was headed down bound. As the vessel was going through the right descending side of the bridge the port lead barge allided with the center span. The port lead barge was shifted to the left and the bow of the port stern barge was exposed and hit the bridge. The port stern barge was damaged and started taking on water.   

The damaged barge flooded to the river level due to a hole below the water line. The barge was lightered and moved to mile marker 4 for all the cargo to be off loaded. The barge was taken to Paducah, KY for permanent repairs.

The Coast Guard's investigation found the initiating event was a navigation error in high water & flow conditions that subsequently led to the allision and hull fracture.",KY,Henderson County,['GREEN'],['Spottsville Bridge'],"['C353', 'ALICE']","37.86237,-87.41288"
