activity_id,title,start_dt,end_dt,page
1482004,Hal D. Miller/Allision,10/21/2001,5/4/2006,5
1482184,L.R. CHAPMAN - Allision,12/8/2001,5/18/2006,5
1482244,IVC,9/15/2001,5/9/2005,5
1483032,IVC,10/21/2001,5/4/2006,5
1483693,M/V EDWARD C. MAYS - Allision,2/4/2002,5/31/2006,5
1484363,AGIOS NEKTARIOS allision with McArdle Bridge,2/6/2002,4/10/2008,6
1485807,UTV SHEILA MORAN                          ALLISION,2/11/2002,1/8/2003,6
1486792,M/V ELIZABETH LANE - Allision,2/8/2002,5/31/2006,6
1487066,M/V LEE III; Allision with Dularge Bridge,2/3/2002,1/10/2003,6
1490088,Allision - UTV LONNIE T & Grand Lake Pontoon Bridg,1/13/2002,5/23/2006,6
1490666,Barge CSC 25   Allision  MI 67.4 Missouri R.,12/26/2001,5/18/2006,6
1490750,Allision - T/B GONSOULIN 203 with Bridge,3/2/2002,12/3/2004,6
1492743,M/V INDEPENDENCE,3/5/2002,6/6/2006,6
1493172,JUDSON B.; ALLISION,3/10/2002,6/6/2006,6
1494861,M/V CHARLIE EVERHART - Allision,3/18/2002,1/25/2005,6
1495064,M/V RIO MIAMI ALLISION W/ NW 5TH ST BRIDGE,11/6/2001,5/9/2006,7
1495407,M/V Desert Shadow-Loss of manuverabilty,3/9/2002,6/6/2006,7
1495900,TURECAMO GIRLS/ALLISION,3/21/2002,11/18/2002,7
1597165,JERSEY / Allision,3/24/2002,1/27/2005,7
1597870,CAPTAIN DEAN (M/V); ALLISION,3/20/2002,1/27/2005,7
1598663,M/V MR N BLANCHARD; Allision w/ Dularge Bridge,3/22/2002,11/25/2002,7
1602656,M/V ALICE - Bridge Allision,4/9/2002,6/16/2006,7
1605402,M/V NORA PICKETT,4/11/2002,12/3/2003,7
1605786,M/V DOYLE R. PICKETT,4/13/2002,6/16/2006,7
1606148,M/V PUSHMATAHA - bridge allision,3/25/2002,6/20/2006,7
1606207,M/V TRUCK MORRISON - bridge allision,4/11/2002,6/16/2006,8
1606618,M/V KENNETH E. NEW,3/14/2002,6/7/2006,8
1608210,M/V MARY CLAIRE/BARGE ALLISION WITH CSX RR BRIDGE,4/23/2002,12/3/2004,8
1608318,BOB KOCH/ 151-ILR/ALLISION PEKIN RR,4/16/2002,6/14/2007,8
1608370,M/V DONNA YORK TOW ALLISION WITH UNION RR BRIDGE,4/23/2002,6/23/2006,8
1613348,M/V W.W Crum/Allision,4/15/2002,6/20/2006,8
1616348,MADONNA-DA-NEL/ ALLISION,5/11/2002,7/12/2006,8
1616383,Sea Wolf/Raritan River Railroad Bridge Allision,5/13/2002,2/25/2004,8
1617034,M/V ISSAQUENA - BRIDGE ALLISION,5/9/2002,7/11/2006,8
1618443,Allision between the barge McKeesons & CSX RR bdge,5/18/2002,10/7/2005,8
1619076,M/V KLJ Erickson - Allision,4/14/2002,6/19/2006,9
1619650,Bridge Alllision / TAURUS,1/8/2001,4/7/2006,9
1620546,M/V JULIE S - Allision,5/16/2002,7/12/2006,9
1624420,M/V JOE BOBZIEN    Allision Hwy 82 Bridge,5/29/2002,6/18/2007,9
1624444,M/V ELIZABETH HUGER Allision HWY 82 Bridge,5/30/2002,12/17/2004,9
1627713,CAPAZ DUCKLING / Allision,6/4/2002,7/25/2006,9
1628735,M/V BADGER  Allision   MI 43  Illinois River,5/3/2002,12/7/2004,9
1628846,M/V HERMAN POTT  Allision  MI 61.2 Illinois River,10/28/2001,12/15/2004,9
1629156,TUG PETALUMA - BLACK POINT RR BRIDGE ALLISION,6/11/2002,7/29/2005,9
1629798,M/V JACK FLAHAUT Bridge Allision  MI448 Missouri R,6/2/2002,7/20/2006,9
1629858,MARK C / ALLISION,5/29/2002,7/18/2006,10
1632069,Myra Eckstein Allision,5/29/2002,7/25/2006,10
1633390,M/V MARY KATHRYN (Allision),5/3/2002,7/7/2006,10
1633548,FREIGHT BARGE M 852 ALLISION,6/14/2002,7/27/2006,10
1635870,"Allision/ TG LELA JOY, TB Nathan 114",6/23/2002,8/11/2006,10
1635881,ISLAND BREEZE/Allision,6/19/2002,8/10/2006,10
1635967,M/V ROBERT Y LOVE/I-40 Hwy Bridge - Allision,5/26/2002,11/6/2007,10
1636161,RHETT PARKER (M/V); ALLISION,6/25/2002,8/11/2006,10
1636505,M/V ROBERT T - allision,4/27/2002,2/26/2004,10
1637623,CHARLES M. (M/V); ALLISION,6/22/2002,8/11/2006,10
1639311,M/V TAMESIS EQUIPMENT FAILURE,6/25/2002,8/22/2006,11
1639860,PV CARROUSEL- BRIDGE ALLISION,6/19/2002,8/10/2006,11
1640554,TROOPER / Allision,5/6/2002,7/7/2006,11
1644660,M/V Roy Mechling - Allision,7/7/2002,8/29/2006,11
1650585,M/V MISSISSIPPI QUEEN - Allision,5/31/2002,3/19/2004,11
1651224,M/V KLJ Erickson - Allision,7/5/2002,8/29/2006,11
1652031,M/V Joyce Hale Allision Il. River Mile 56,5/16/2002,7/13/2006,11
1655457,M/V RAY WAXLER Allision Illinois River mile 56,7/1/2002,8/23/2006,11
1656881,Allision/Barge MTC-358B & Hastings Railroad Bridge,7/13/2002,8/30/2006,11
1657555,Allision/M/V Sheila Johnson,8/6/2002,10/16/2006,11
1663347,MARIE CENAC (M/V); ALLISION,8/17/2002,12/17/2004,12
1663887,CHARLIE-C; ALLISION,8/7/2002,10/20/2006,12
1665530,FALLEN ANGEL (F/V); ALLISION,8/20/2002,10/20/2006,12
1667047,Tug EVERGREEN STATE allision w/bridge,8/15/2002,8/4/2005,12
1669084,UTV SARA KAITLIN                          ALLISION,8/29/2002,4/1/2005,12
1673240,S/R St Louis Bridge Allision,7/23/2002,9/6/2006,12
1690826,M/V TYLER / BARATARIA BRIDGE ALLISION,9/29/2002,9/25/2007,12
1694320,"M/V Marinette - Allision, Ogden Street Bridge",10/9/2002,12/8/2004,12
1699219,UTV MR VANCE - Allision w/ Greens Bayou RR Bridge,10/31/2002,11/5/2007,12
1705467,ANNETTE / Allision,11/11/2002,10/3/2006,12
1707028,PASCAGOULA (M/V); ALLISION,10/17/2002,10/24/2006,13
1708534,Tug BARBARA TAYLOR / Allision,11/10/2002,10/25/2006,13
1710644,M/V PAIGE GERTRUDE,11/11/2002,10/25/2006,13
1710898,Grounding - UTV Harbor II,11/26/2002,10/25/2006,13
1711024,Tug GINNY STONE / Allision,11/21/2002,10/25/2006,13
1711789,TYLER / Allision w/ Claiborne Ave Bridge,11/24/2002,10/25/2006,13
1714693,"Fore River D&D, BLYNMAN Bridge Allision",12/5/2002,1/6/2005,13
1716174,M/V ANDREW C MACMILLAN / Harahan R/R Bridge,12/7/2002,7/31/2003,13
1717460,UTV MONICA LEE  -  Allision,10/10/2002,6/27/2006,13
1717665,M/V JOSEPH PATRICK ECKSTIEN  Ground/Allision/Break,12/6/2002,12/15/2004,13
1717782,M/V SHIRLEY P. SETTOON,12/4/2002,12/12/2002,14
1720628,Tug Savannah/B-18 Allision with Wappo Bridge,6/1/2002,7/20/2006,14
1723366,Barge Fleet Breakaway & Bridge Allision,6/28/2002,8/12/2003,14
1727512,M/V BEARCAT & BARGE HAGAR; ALLISION - UPRR BRIDGE,1/7/2003,10/3/2012,14
1737881,NCC MEKKA/FORT BRAGG/ Hilton RR Bridge-Allision,1/12/2003,4/27/2005,14
1739219,(MC) UTV SUN MERCHANT/ALLISION W/ MCCORMICK BRIDGE,2/3/2003,12/19/2007,14
1741274,BRIDGE ALLISION - UTV SEAWOLF,2/7/2003,10/31/2005,14
1743723,M/V GENIE CENAC/ALLISION,1/7/2003,3/26/2003,14
1747786,M/V ELLY LANE;  Bridge Allision,2/21/2003,1/26/2005,14
1759646,Allision - BROWN WATER V,3/19/2003,1/11/2005,14
1761841,"Tug NIGHT HAWK, AMTRAK Bridge Allision",3/21/2003,11/1/2005,15
1761974,Tug SHARPS ISLAND Barge/AMTRAK Bridge Allision,3/22/2003,11/1/2005,15
1766735,TUG PETALUMA,4/20/2003,7/29/2005,15
1767401,NATALIE H allision with West Port Arthur bridge,4/2/2003,8/10/2005,15
1769829,Bridge Allision,2/28/2003,1/5/2006,15
1770996,ABUL KALAM AZAD,4/7/2003,12/19/2007,15
1772061,M/V BAILEY ANN,12/10/2002,4/11/2003,15
1773447,M/V SUSAN MARIE & M/V MS MONIQUE,4/12/2003,4/25/2003,15
1773962,Division street fatality,4/10/2003,11/7/2007,15
1774922,"CAPT TUCK - Grounding,  Bridge Allision",12/7/2002,12/9/2004,15
1776223,M/V RYAN CENAC,4/16/2003,11/2/2005,16
1777728,ConRail Bridge Allision/ Tug Maine,4/18/2003,5/7/2009,16
1778270,F/V HOANG ANH,4/22/2003,1/5/2006,16
1787508,M/V Laura Elizabeth/Allision,5/6/2003,12/8/2004,16
1815609,M/V JEANIE-G (ALL),5/20/2003,11/7/2005,16
1827312,Panda/ Allision,9/28/2000,2/25/2004,16
1832540,CBX 2020/ Allision/ SAK,6/30/2003,6/9/2005,16
1842150,Flordia Express Barge/Bridge Allision,5/19/2003,11/10/2005,16
1843258,M/V OLYMPIC MENTOR,7/11/2003,4/24/2007,16
1863724,BROTHER COLLINS/158-ILR/ALLISION,5/30/2003,12/15/2004,16
1877277,UTV TED W. EWING - Allision w/ Fred Hartman Bridge,8/15/2003,2/25/2005,17
1879884,CINDY CELESTE/ALLISION,5/19/2003,6/5/2007,17
1886766,M/V DELAWARE BRIDGE; Propulsion Failure,8/15/2003,11/16/2006,17
1886997,M/V SUPERAMERICA / fire,8/19/2003,9/28/2004,17
1887516,"Allision, Tug Invincible and St. Joseph CSX Bridge",8/26/2003,1/27/2006,17
1887593,DESIREE / BRIDGE ALLISION / ELT,8/26/2003,5/23/2007,17
1896583,F/V MASTER SEELOS,8/21/2003,1/5/2006,17
1913588,UTV DRUM POINT                            ALLISION,9/26/2003,2/13/2007,17
1917771,M/V Harriet Ann v. I-155 Hwy Bridge,9/30/2003,3/23/2006,17
1929758,M/V DRU LIRETTE - Allision,7/31/2003,4/26/2007,17
1932811,ALLISION,10/20/2003,12/28/2005,18
1942425,CONRAIL BRIDGE/AGAWA CANYON ALLISION,10/29/2003,4/23/2008,18
1946230,(MC) Rice Creek R/R Bridge,11/12/2003,12/2/2004,18
1957341,UTV DIANA T / Allision/BKT,11/30/2003,8/4/2005,18
1959647,Allison - UTV CAPITAL STAR v. Melville RR Bridge,12/3/2003,3/22/2007,18
1961750,UTV FAWN allision with I-10 bridge,12/10/2003,12/14/2004,18
1962020,M/V SARA KAITLYN/ Surf City Swing Bridge Allision,12/8/2003,3/31/2005,18
1969305,M/V TRIG LIND,11/28/2003,7/29/2005,18
1970692,LACEY NICOLE loss propulsion/bridge allision,7/9/2003,4/23/2007,18
1973365,M/V BADGER/Allision/ILR 287,1/2/2004,1/16/2004,18
1973498,M/V MALLARD/Allision/E J & E Railroad Bridge,1/2/2004,1/16/2004,19
1973684,UTV Trey Deloache v. Florida Ave Bridge - Allision,12/23/2003,12/29/2005,19
1977405,M/V Harry J. Brock Purple People Bridge Allision,1/6/2004,5/21/2004,19
1981248,UTV ELIZABETH                             ALLISION,1/10/2004,12/10/2004,19
1984870,M/V El Paso Allision,1/14/2004,2/20/2004,19
1988956,UTV CITY OF PORT ALLEN allision/collision,1/20/2004,9/10/2004,19
1990409,M/V MALLARD/Allision,1/22/2004,1/23/2004,19
1990497,M/V NORTHLAND/Allision,1/22/2004,1/23/2004,19
1991302,Oak Island Bridge/M/V BELLE WATLING/M/V MELANIE,1/12/2004,2/28/2005,19
1991651,M/V EILEEN C_ALLISION,1/23/2004,1/30/2004,19
1996283,M/V HAZEL - Allision,1/15/2004,3/4/2004,20
1996817,F/V PROVIDIAN BRIDGE ALLISION,1/28/2004,2/20/2004,20
1999016,M/V RIVER HAWK GROUNDING- 06 HUN 04,1/7/2004,11/30/2007,20
2003650,ALLISION- Tug George Eli & Indian Creek Bridge,2/10/2004,6/28/2005,20
2003945,Parker Drilling Rig 56-B SPRR Bridge Allision,2/10/2004,12/1/2004,20
2004591,M/V SEA LEADER allision with Dularge Bridge,2/11/2004,12/10/2004,20
2005259,UTV ENDEAVOR,10/28/2003,1/30/2007,20
2007005,M/V JAMES RIVER BRIDGE,2/12/2004,12/8/2004,20
2007769,S/V SEASPACE,2/7/2004,12/8/2004,20
2010117,UTV DELTA GOOSE - GRAND LAKE PONTOON BR. ALLISION,2/19/2004,12/20/2004,20
2011469,M/V WILLIAM L. KLUNK,1/15/2004,12/8/2004,21
2011681,UTV ROSE D. - Bridge allision,2/19/2004,12/1/2004,21
2011731,UTV SARAH GRACE,2/22/2004,7/28/2004,21
2011757,UTV CAROLINE,2/23/2004,12/1/2004,21
2014268,Tug PHIL MOSESSO/Loss of Steering/Fire/Allision,2/26/2004,11/3/2004,21
2015562,UTV JOHN C. TERRAL - ALLISION,2/26/2004,3/24/2004,21
2020183,FREIGHT BARGE SUSQUEHANNA                 ALLISION,3/5/2004,12/7/2004,21
2021224,UTV GEORG BURROWS/WANTAGH PKWY BRIDGE,3/9/2004,7/15/2005,21
2022944,ALLISION,3/11/2004,12/9/2004,21
2024856,M/V JIMMY BROWN_ALLISION,3/8/2004,4/14/2004,21
2024996,B-130 Bridge Allision,2/26/2004,1/21/2005,22
2025334,UTV MELISSA ANNA - ALLISION,3/14/2004,12/2/2004,22
2025672,PIACHI (M/V); ALLISION,1/27/2004,6/15/2005,22
2026313,F/V ISABELLE TAYLOR,3/17/2004,12/7/2004,22
2026342,M/V MISS ROSLYN; Allision with Bayou Blue Bridge,2/28/2004,12/7/2004,22
2026361,MARK C (M/V); ALLISION,1/21/2004,8/16/2004,22
2026369,M/V Nathan allision,3/17/2004,12/7/2004,22
2027475,MELVIN L. KING (M/V); ALLISION,3/4/2004,7/28/2004,22
2028973,UTV CSS Louisiana - Allision Bayou Bouef RR Bridge,3/9/2004,8/3/2004,22
2029552,M/V PAT MCBRIDE Allision Investigation,3/9/2004,10/5/2004,22
2031226,M/V DONNA YORK - ALLISION - 12 HUN 04,2/12/2004,12/2/2004,23
2033282,UTV Sarah Grace/Tetra 3 SPRR Bridge Allision,3/9/2004,8/3/2004,23
2033581,M/V Gladiator allision with Sabula R/R Bridge,3/18/2004,4/13/2004,23
2033934,UTV Ned Merrick allision Melville RR Bridge,12/29/2003,5/16/2006,23
2034209,EDWARD BRUSCO - Allision,3/22/2004,12/8/2004,23
2034825,M/V JAMES W. BUKY_ ALLISON,3/31/2004,4/23/2004,23
2036073,M/V INNOVATOR & I-10 TRAIN BRIDGE ALLISION,3/25/2004,12/7/2004,23
2036208,MORGAN RAY / ALLISION / ELT,3/30/2004,12/23/2004,23
2036254,DONNA JEAN_ALLISION,4/2/2004,5/28/2004,23
2037494,FREIGHT BARGE SMURFIT STONE 25            ALLISION,4/4/2004,12/3/2004,23
2037890,T/V STOLT CAPABILITY BRIDGE ALLISION,2/6/2004,12/3/2004,24
2038291,UTV VICKIE/ Melville R/R bridge allision,3/31/2004,12/7/2004,24
2038373,TARA ELIZABETH/ Allision/ JAR,3/31/2004,12/29/2004,24
2038720,UTV JOHN C TERRAL/Allision Krotz Spring RR Bridge,4/6/2004,2/15/2005,24
2039362,REGINA T / ALLSION/ SANIBEL CAUSEWAY BRIDGE,4/6/2004,12/8/2004,24
2039431,"ALLISION / TG JEFFREY FOSS, FTB SEASPAN 240",4/6/2004,3/7/2007,24
2039990,M/V JW Hershey allision with bridge near rm 518,3/29/2004,12/7/2004,24
2040634,LADY ROZ/Allision/MCD,4/9/2004,1/5/2005,24
2042715,EDWARD BRUSCO - Allision,3/20/2004,12/8/2004,24
2045309,Allision - Andre 'R with Houma Twin Span Bridge,3/27/2004,8/12/2004,24
2049986,M/V Robert Knoke,4/6/2004,12/29/2004,25
2053889,UTV PEGASUS & GONSOLIN 302,4/27/2004,12/3/2004,25
2054748,MISS LORI/ Allision/ QDQ,4/16/2004,1/6/2005,25
2058117,M/V Andrew Cannava Allision with Bridge,5/3/2004,5/20/2004,25
2058180,ACE BRIDGE / Grounding,5/3/2004,1/31/2005,25
2059064,RYAN CENAC (M/V); ALLISION,4/15/2004,1/6/2005,25
2060639,UTV FREEDOM - ALLISION,5/4/2004,8/20/2004,25
2063738,M/V SPECULATION/ALLISION,5/6/2004,10/14/2014,25
2064181,M/V CRIMSON DUKE - Bridge allision,5/9/2004,2/16/2005,25
2065114,Allision - RAPTURE/Pelican Island Bridge,5/10/2004,12/6/2004,25
2065537,M/V BRITNEY LEE,5/8/2004,8/20/2004,26
2065985,ALLISION/RAZORBACK,11/18/2003,3/15/2007,26
2071222,R. S/V SEAWEED Towed by Vsl Assist; Bridg Allision,9/2/2003,10/3/2006,26
2074374,BAYOU PIQUANT (M/V); ALLISION,5/16/2004,6/29/2005,26
2076376,M/V P. H. STEPHAICH,5/7/2004,12/6/2004,26
2076678,UTV DAVID L. CUROLE & ING 1666,5/10/2004,11/30/2007,26
2076715,Number 3 (FREEDOM),5/10/2004,12/21/2004,26
2076914,Allision - M/V VANPORT with Bayou DuLarge Bridge,5/24/2004,6/18/2004,26
2077951,BAYOU PIQUANT; ALLISION,4/1/2004,6/30/2005,26
2080678,M/V WILLIAM L. KLUNK,3/14/2004,7/1/2004,26
2086214,MV Lois Ann Allision,5/25/2004,6/18/2004,27
2086277,M/V Andrew Cannava,6/1/2004,6/18/2004,27
2086469,UTV JULIA WOODS - ALLISION,6/1/2004,2/18/2005,27
2087565,Bridge Allision Barge 30 w/ Hiem Bridge,5/7/2004,2/16/2005,27
2087687,LIMESTONE LADY/ALLISION,4/23/2004,12/8/2004,27
2087746,Allision - DANIEL STAPP / GALV CAUSEWAY BRIDGE,5/11/2004,8/13/2004,27
2094345,GLOBAL LIFT 3 / ALLISION,6/3/2004,8/19/2004,27
2094414,J. ANDREW ECKSTEIN/Allision,3/31/2004,6/17/2004,27
2095377,ALLISION/PHILLIP CENAC,6/2/2004,6/16/2004,27
2097700,UTV Billy Joe Bowling &Tow,5/26/2004,12/7/2004,27
2097878,EAST PASS/ALLISION/HATHAWAY BRIDGE,6/4/2004,2/18/2005,28
2098962,M/V NAN/Allision,6/15/2004,6/21/2004,28
2099085,M/V NORTHLAND/Allsion,5/24/2004,6/18/2004,28
2099279,ALLISION/CAPT. CHARLIE LAWRENCE - GALVESTON BRIDGE,5/21/2004,6/18/2004,28
2100756,CAPTAIN STAPP - allision,5/9/2004,2/16/2005,28
2101211,MV Butch Barras Allision with Sabula Bridge,6/13/2004,8/27/2004,28
2101344,O.H. Ingram Allision,6/8/2004,9/10/2004,28
2108436,ALLISION-M/V TROJAN WARRIOR WITH EJ&E BRIDGE,5/16/2004,8/16/2004,28
2108696,M/V ALLIGATOR,5/27/2004,8/17/2004,28
2109253,UTV KACIE LUHR allision,3/22/2004,7/15/2004,28
2112017,ALLISION - ST. RITA vs. Galveston Causeway Bridge,2/27/2004,6/29/2004,29
2112060,Allision - MOUNTAINEER and Galveston Causeway Brid,2/28/2004,6/29/2004,29
2117513,MARY SCHEEL_ALLISION,6/24/2004,9/27/2004,29
2123295,UTV DISCOVERY - ALLISION,7/3/2004,3/10/2005,29
2123503,TUG TIDEWATER - Allision,7/6/2004,3/17/2005,29
2123698,F/V SEA COMMANDER IV collision w/ West PA Bridge,6/25/2004,9/17/2004,29
2124720,William L. Klunk_Allision,7/1/2004,3/4/2005,29
2129612,TUG WARRIOR,7/3/2004,8/1/2005,29
2129902,M/V PACIFIC HIGHWAY,7/11/2004,6/22/2005,29
2130455,M/V Invincible allision with CSX  bridge St.Joseph,6/4/2004,7/29/2005,29
2134115,Wappoo Bridge Allision--CAPT. GEORGE,7/4/2004,6/19/2008,30
2138135,BELLE OF CINCINNATI BRIDGE ALLISION - ** HUN 04,7/7/2004,3/17/2005,30
2140548,UTV MARTIN NAVIGATOR - ALLISION,7/21/2004,4/11/2006,30
2142554,MICHIGAN/GREATLAKES CSX Rail Bridge Allision,6/17/2004,10/5/2004,30
2146691,Allision / Tug Consort,7/23/2004,9/6/2007,30
2147062,M/V Mary Scheel allision with Cass St. Bridge,7/7/2004,3/17/2005,30
2147843,M/V Seneca Queen and CSX RR allision,10/2/2003,10/4/2006,30
2153420,MC TUG TROOPER/ALLISION/SANIBEL CAUSEWAY BRIDGE,7/30/2004,3/1/2007,30
2153721,SPIRIT OF '98 - Allision,4/24/2004,12/16/2004,30
2153775,Allision - F/V NO LIMIT & Golden Meadow Bridge,8/2/2004,3/30/2005,30
2161232,CADDO (M/V); GROUNDING/ALLISION,7/27/2004,8/16/2004,31
2165314,Allision - SONIA B vs GALV CAUSEWAY,4/23/2004,1/26/2005,31
2170794,Barge CBX2012 v. Florida St RR Bridge,8/7/2004,1/18/2006,31
2171540,M/V EILEEN C_ALLISION 130TH ST BRIDGE,7/27/2004,3/30/2005,31
2175021,UTV MORGAN RAY / POUL E'DEAU / ALLISION / QDQ,4/21/2004,12/16/2004,31
2183825,Allision - KATHRYN ECKSTEIN / Galv Causeway,1/24/2004,12/1/2004,31
2184262,GINNY STONE/ALLISION,3/14/2004,10/5/2004,31
2189037,M/V Annapolis v. New Johnsonville RR Br - Allision,9/6/2004,1/13/2006,31
2189346,"Allision/ FV RoJo, ON604479, w/ I-90 float bridge",9/5/2004,6/19/2008,31
2196814,PERRY LYNN ALLISION W/GRAND LK BRIDGE,1/21/2003,10/12/2006,31
2199318,M/V J. ANDREW ECKSTEIN Allision MM 179 UMR,8/1/2004,10/12/2006,32
2213752,Barge GL73 v. Yacht Nicky D's,8/1/2004,1/19/2006,32
2215896,Chelsea Street Bridge Allision,9/30/2004,8/4/2005,32
2224884,M/V MARY HARTER ALLISION,4/5/2004,12/29/2004,32
2225400,S/S HALIFAX / Allision,10/13/2004,3/9/2005,32
2225557,Sister's Creek Bridge Allision - Miss Sarah,10/21/2004,3/18/2008,32
2226216,Spud Barge L1029 v. Ellender Bridge,10/21/2004,1/20/2006,32
2227602,F/V KATHY ROSE Allision with 2-mile bridge,10/24/2004,11/9/2005,32
2227749,M/V YVONNE CONWAY ALLISION MARKLAND LOCK,1/6/2004,12/17/2004,32
2228023,M/V WARREN W. HINES ALLISON MCALPINE LOCKS,5/12/2004,2/16/2005,32
2229596,UTV ALBOB - ALLISION,10/11/2004,10/17/2006,33
2232295,Allision/CAROLINE GUIDREY & I-10 Bridge,11/1/2004,10/17/2006,33
2232472,UTV MARY KAY - ALLISION W/ BLACK BAYOU BR.,4/8/2004,12/29/2004,33
2234148,M/V REGINA ANN/ allision,3/13/2004,12/22/2004,33
2236286,Michaela McAllister v. McArdle Bridge,11/7/2004,1/24/2006,33
2236887,Allision / barge / ING 5707,11/4/2004,10/17/2006,33
2237702,UTV ROBIN LANETTE/ Allision,4/20/2004,1/6/2005,33
2239689,F/V MARY MAGDALINE / Allision with 2 Mile Bridge,11/10/2004,10/24/2005,33
2241315,MC KELLY BROTHERS BARGE/Allision w/SANIBEL BRIDGE,11/13/2004,12/5/2006,33
2241320,CFV V. J. O'NEAL -- ALLISION,11/13/2004,12/19/2006,33
2241341,Allision (bridge) - Tug LUCY REINHAUR,11/11/2004,10/18/2006,34
2241433,SUN DREAM-ALLISION,11/10/2004,12/5/2006,34
2241781,"M/V NADINE BAKER, Sinking/Oil Discharge",11/13/2004,12/19/2006,34
2241804,Tug GAUNTLET/ Barge JAX SAN JUAN BRIDGE- ALLISION,9/15/2004,6/27/2005,34
2250382,MARY EDWARDS ALLISION,4/22/2004,1/25/2005,34
2251780,UTV ALIA / SEA-TOW / DECK BARGE INCIDENT - ST. AUG,11/29/2004,4/12/2005,34
2254042,Allision (Pelham Pky Bridge)--UTV BUCHANAN 3,10/3/2004,5/19/2006,34
2254224,ACBL 2968 / UTV BIG DADDY / Allison,11/26/2004,10/20/2006,34
2256251,Tug RIVERCAT,10/26/2004,8/1/2005,34
2256885,MISS MARIANNE/ Allision,4/3/2004,1/5/2005,34
2256972,Collision/PV ODYSSEY,12/4/2004,5/20/2008,35
2258553,UTV Bob Helton v. Ellender Bridge,11/26/2004,1/31/2006,35
2259990,Tug Eugenia Moran bridge allision,12/10/2004,12/20/2007,35
2263674,Allision with Sister's Creek Bridge,12/21/2004,10/19/2006,35
