activity_id,waterway_role,description,lat,long,waterway_name
1663347,Location,BACK BAY BILOXI RR BRIDGE,30.4013895,-88.85,BILOXI BAY
1663887,Location,BILOXI BAY,30.41907,-88.88693,BILOXI BAY
1665530,Location,Legacy - Unknown Location,-90,0.01,PASCAGOULA RIVER
1667047,Location,TOWNSEND INLET                                                                  ,39.11938,-74.71988,TOWNSEND INLET
1669084,Location,"ELIZABETH RIVER, SOUTHERN BRANCH",36.80077,-76.29149,"ELIZABETH RIVER, SOUTHERN BRANCH"
1690826,Location,Legacy - Unknown Location,-90,0.01,Gulf Intracoastal Waterway
1694320,Location,Menominee River,45.0983333333333,-87.5783333333333,Menominee River
1699219,Location,GREENS BAYOU,29.764811,-95.188019,GREENS BAYOU
1707028,Location,BLACK WARRIOR RIVER,33.462372,-87.351,TOMBIGBEE RIVER
1708534,Location,OUACHITA RIVER MILE 57,31.7833333333333,-91.8166666666667,QUACHITA RIVER
1710644,Location,GULF INTRACOASTAL WATERWAY: Louisa Bridge,29.2790166666667,-89.02357,GULF INTRACOASTAL WATERWAY
1711024,Location,MISSISSIPPI RIVER MILE 167.4,30.0916666666667,-90.9116666666667,MISSISSIPPI RIVER
1716174,Location,MISSISSIPPI - MM 733,44.129722,-91.721111,MISSISSIPPI RIVER
1717460,Location,ST. LUCIE RIVER                                                                 ,27.2023333333333,-80.26,ST. LUCIE RIVER
1717665,Location,MISSISSIPPI - MM 169: MISSISSIPPI RIVER,38.489167,-90.274999,MISSISSIPPI RIVER
1720628,Location,Intracoastal Waterway Wappo Cut,32.7596666666667,-79.9708333333333,Intracoastal Waterway Wappo Cut
1723366,Location,MISSISSIPPI - MM 837: MISSISSIPPI RIVER,44.936111,-93.050833,MISSISSIPPI RIVER
1727512,Location,SUSUIN BAY CHANNEL - UPRR BRIDGE,38.0416666666667,-122.125,SUISON BAY CHANNEL
1737881,Location,CAPE FEAR RIVER,34.409147,-78.298967,CAPE FEAR RIVER
1739219,Location,ATLANTIC INTRACOASTAL WATERWAY                                                  ,30.38789,-81.46623,ATLANTIC INTRACOASTAL WATERWAY
1741274,Location,HUDSON RIVER,40.88167,-73.93388,HUDSON RIVER
1743723,Location,DES PLAINES RIVER MM 287.6: Des Plaines River,41.52,-88.0883333333333,Des Plaines River
1747786,Location,"Hwy 82 Bridge: Mississippi River, MM 530.8",33.293,-91.1596666666667,Mississippi River
1759646,Location,Gulf Intracoastal Waterway,29.3,-94.8722221666667,Gulf Intracoastal Waterway
1761841,Location,"SUSQUEHANNA RIVER, AMTRAK Rail Bridge",39.54791,-76.08022,SUSQUEHANNA RIVER
1761974,Location,"SUSQUEHANNA RIVER, AMTRACK Rail Bridge",39.54791,-76.08022,SUSQUEHANNA RIVER
1766735,Location,PETALUMA RIVER,38.11313,-122.4984,PETALUMA RIVER
1767401,Location,"SABINE NECHES WATERWAY, TX",30.04632,-93.729779,"SABINE NECHES WATERWAY, TX"
1769829,Location,Aboard Vessel: PADDY CROSBY: Port Fourchon,29.0833333333333,-90.2166666666667,BAYOU LAFOURCHE
1770996,Location,CARQUINEZ STRAIT; STRUCK  I-80 BRIDGE AT SOUTH END                              ,38.06061,-122.212,CARQUINEZ STRAIT
1773962,Location,Divsion St Bridge: CALUMET-SAG CHANNEL,41.6518333333333,-87.6686666666667,CALUMET-SAG CHANNEL
1774922,Location,CAPE FEAR RIVER,34.33667,-78.04723,CAPE FEAR RIVER
1776223,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
1777728,Location,DETROIT RIVER                                                                   ,42.269094,-83.109586,DETROIT RIVER
1778270,Location,BAYOU LAFOURCHE,29.15,-90.15,BAYOU LAFOURCHE
1787508,Location,Des Plaines River,41.525,-88.0916666666667,Des Plaines River
1815609,Location,Intracoastal Waterway,30.35,-87.15,GICW- East Choctawhatchee Bay through West Bay
1827312,Location,ARTHUR KILL,40.548128,-74.251272,ARTHUR KILL
1832540,Location,INNER HARBOR NAVAGATION CANAL,30.03136,-90.03461,INNER HARBOR NAVAGATION CANAL
1842150,Location,East Bay,30.0708333333333,-85.5094445,GULF INTRACOASTAL WATERWAY
1843258,Location,Maumee River (Norfolk & Southern RR Bridge)                                     ,41.6321666666667,-83.531,LAKE ERIE
1863724,Location,MM 158: ILLINOIS RIVER,40.6352766666667,-89.621665,ILLINOIS RIVER
1877277,Location,HOUSTON SHIP CHANNEL,29.70049,-95.00388,HOUSTON SHIP CHANNEL
1879884,Location,OHIO - MM 979,37.006389,-89.164721,OHIO RIVER
1886766,Location,SAVANNAH RIVER,32.08339,-81.03772,SAVANNAH RIVER
1886997,Location,OHIO RIVER,38.26396,-85.76089,OHIO RIVER
1887516,Location,St. Joseph River,42.0969445,-86.4913888333333,ST. JOSEPH RIVER
1887593,Location,Gulf Intracoastal Waterway MM 1-14 WHL,29.9025,-90.0838888333333,GULF INTRACOASTAL WATERWAY
1896583,Location,BAYOU LAFOURCHE,29.15,-90.15,BAYOU LAFOURCHE
1913588,Location,ALANTIC OCEAN,34,-76,ELIZABETH RIVER
1917771,Location,Mississippi River MM 838.7,36.1146333333333,-89.6130333333333,MISSISSIPPI RIVER
1929758,Location,Aboard Vessel: DRU LIRETTE: OHIO RIVER,38.266111,-85.75861,OHIO RIVER
1932811,Location,Bayou Milhomme,29.79967,-91.16386,Bayou Milhomme
1942425,Location,Rouge River,42.2972221666667,-83.1638888333333,DETROIT RIVER
1946230,Location,"Rice Creek R/R Bridge in Palatka, Florida: ST JOHN",29.6433333333333,-81.6316666666667,ST. JOHNS RIVER
1957341,Location,MISSISSIPPI RIVER,30.0916666666667,-90.9116666666667,MISSISSIPPI RIVER
1959647,Location,ATCHAFALAYA - MM 30,30.683,-91.7368333333333,ATCHAFALAYA RIVER
1961750,Location,Aboard Vessel: FAWN: Houston Ship Channel Access,29.7833333333333,-95.0833333333333,Houston Ship Channel Access
1962020,Location,ATLANTIC INTRACOASTAL WATERWAY,33.91429,-78.0135,ATLANTIC INTRACOASTAL WATERWAY
1969305,Location,PETALUMA RIVER                                                                  ,38.22848,-122.6144,PETALUMA RIVER
1970692,Location,OHIO - MM 60: OHIO RIVER                                                        ,40.4522216666667,-80.6019416666667,OHIO RIVER
1973365,Location,Illinois River,41.5166666666667,-88.09,ILLINOIS RIVER
1973498,Location,ILLINOIS RIVER,41.43241,-88.17563,ILLINOIS RIVER
1973684,Location,INDUSTRIAL CANAL: GULF INTRACOASTAL WATERWAY                                    ,29.9668333333333,-90.019,GULF INTRACOASTAL WATERWAY
1977405,Location,OHIO - MM 470: OHIO RIVER,39.095555,-84.5019416666667,OHIO RIVER
1981248,Location,Aboard Vessel: ELIZABETH,36.8407333333333,-76.2661111666667,"ELIZABETH RIVER, EASTERN BRANCH"
1984870,Location,Galveston Rail Road Bridge: Gulf Intercoastal Wate,29.3,-94.8833333333333,GULF INTRACOASTAL WATERWAY
1988956,Location,INTRACOASTAL WATERWAY ALT. ROUTE,30.064596,-91.282858,INTRACOASTAL WATERWAY ALT. ROUTE
1990409,Location,CHICAGO RIVER,41.88662,-87.63799,CHICAGO RIVER
1990497,Location,Chicago Sanitary and Ship Canal,41.8375,-81.6866666666667,CHICAGO SHIP CANAL
1991302,Location,ATLANTIC INTRACOASTAL WATERWAY,33.91821,-78.04465,ATLANTIC INTRACOASTAL WATERWAY
1991651,Location,Chicago Sanitary and Ship Canal,41.8208333333333,-87.74,CHICAGO SHIP CANAL
1996283,Location,GREEN - MM 9,37.858888,-87.411944,GREEN RIVER
1996817,Location,CAPE MAY CANAL,38.92081,-75.09711,CAPE MAY CANAL
1999016,Location,OHIO RIVER,38.918369,-81.91001,OHIO RIVER
2003650,Location,"ATLANTIC OCEAN, COASTAL                                                         ",25.7666666666667,-80.1847216666667,INDIAN KEY PASS
2003945,Location,Bayou Boeuf: GULF INTRACOASTAL WATERWAY,29.6683333333333,-90.1,GULF INTRACOASTAL WATERWAY
2004591,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
2005259,Location,GULF INTRACOASTAL WATERWAY; Bayou Boeuf,29.662,-91.09972,GULF INTRACOASTAL WATERWAY
2007005,Location,San Francisco Sea Buoy,37.7661111666667,-122.629166666667,SAN FRANCISCO BAY ENTRANCE
2007769,Location,GULF INTRACOASTAL WATERWAY,29.57929,-90.71761,GULF INTRACOASTAL WATERWAY
2010117,Location,GULF INTRACOASTAL WATERWAY MM 231,29.9706,-92.79704,GULF INTRACOASTAL WATERWAY
2011469,Location,CHICAGO SHIP CANAL,41.697268,-87.949588,CHICAGO SHIP CANAL
2011681,Location,GULF INTRACOASTAL WATERWAY,29.75027,-91.59596,GULF INTRACOASTAL WATERWAY
2011731,Location,MM 73: GULF INTRACOASTAL WATERWAY,29.5540116666667,-90.9107916666667,GULF INTRACOASTAL WATERWAY
2011757,Location,GULF INTRACOASTAL WATERWAY,29.759539,-91.618061,GULF INTRACOASTAL WATERWAY
2014268,Location,MONONGAHELA RIVER,40.39913,-79.93092,MONONGAHELA RIVER
2015562,Location,Atchafalaya River Mile 29.5-45.5: ATCHAFALAYA RIVE,30.54,91.745,ATCHAFALAYA RIVER
2020183,Location,Elizabeth River,36.7713333333333,-76.2905,"ELIZABETH RIVER, SOUTHERN BRANCH"
2021224,Location,GREAT SOUTH BAY                                                                 ,40.63013,-73.37697,GREAT SOUTH BAY
2022944,Location,GULF INTRACOASTAL WATERWAY,29.662,-91.09973,GULF INTRACOASTAL WATERWAY
2024856,Location,ILLINOIS RIVER,41.328354,-88.754744,ILLINOIS RIVER
2024996,Location,CHELSEA RIVER,42.397475,-71.013447,CHELSEA RIVER
2025334,Location,MISSISSIPPI RIVER,41.1907816666667,-91.0584633333333,MISSISSIPPI RIVER
2025672,Location,TOMBIGBEE RIVER                                                                 ,32.520966,-87.883429,TOMBIGBEE RIVER
2026313,Location,Middle Thorofare: ATLANTIC DEEP WATER ACCESS,38.9583333333333,-74.9083333333333,ATLANTIC DEEP WATER ACCESS
2026342,Location,GULF INTRACOASTAL WATERWAY,29.57177,-90.38384,GULF INTRACOASTAL WATERWAY
2026361,Location,GULF INTRACOASTAL WATERWAY,30.39803,-86.52174,GULF INTRACOASTAL WATERWAY
2026369,Location,MISSISSIPPI RIVER,41.51877,-90.569744,MISSISSIPPI RIVER
2027475,Location,TOMBIGBEE RIVER,32.520966,-87.883429,TOMBIGBEE RIVER
2028973,Location,GULF INTRACOASTAL WATERWAY,29.571595,-90.717252,GULF INTRACOASTAL WATERWAY
2029552,Location,OHIO RIVER,39.10559,-84.82009,OHIO RIVER
2031226,Location,OHIO RIVER,39.26632,-81.57038,OHIO RIVER
2033282,Location,GULF INTRACOASTAL WATERWAY,29.571595,-90.717252,GULF INTRACOASTAL WATERWAY
2033581,Location,MISSISSIPPI - MM 535: MISSISSIPPI RIVER,42.12642,-90.19526,MISSISSIPPI RIVER
2033934,Location,ATCHAFALAYA - MM 29                                                             ,30.69147,-91.73467,ATCHAFALAYA RIVER
2034209,Location,CHEHALIS RIVER,46.972092,-123.595304,CHEHALIS RIVER
2034825,Location,ILLINOIS RIVER,41.55657,-88.0775,ILLINOIS RIVER
2036073,Location,CALCASIEU RIVER,30.25366,-93.22034,CALCASIEU RIVER
2036208,Location,ALGIERS CANAL,29.913844,-89.973215,ALGIERS CANAL
2036254,Location,CHICAGO RIVER,41.88662,-87.63799,CHICAGO RIVER
2037494,Location,Aboard Vessel: ELIS: PAMUNKEY RIVER,38.01297,-77.71278,PAMUNKEY RIVER
2037890,Location,Casco Bay Bridge: FORE RIVER,43.64951,-70.25134,FORE RIVER
2038291,Location,ATCHAFALAYA RIVER,30.6916666666667,-91.7333333333333,ATCHAFALAYA RIVER
2038373,Location,BARATARIA WATERWAY,29.742602,-90.134193,BARATARIA BAY
2038720,Location,ATCHAFALAYA RIVER,30.53455,-91.74397,ATCHAFALAYA RIVER
2039362,Location,SANIBEL BRIDGE: GULF INTRACOASTAL WATERWAY,26.47308,-82.0602,GULF INTRACOASTAL WATERWAY
2039431,Location,"Aboard TG JEFFERY FOSS, ELLIOTT BAY",47.57016,-122.3525,ELLIOTT BAY
2039990,Location,MISSISSIPPI - MM 518,33.121388,-91.096944,MISSISSIPPI RIVER
2040634,Location,INNER HARBOR NAVAGATION CANAL,30.03136,-90.03461,INNER HARBOR NAVAGATION CANAL
2042715,Location,CHEHALIS RIVER,46.972092,-123.595304,CHEHALIS RIVER
2045309,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
2049986,Location,OHIO - MM 607: OHIO RIVER,38.284265,-85.794749,OHIO RIVER
2053889,Location,BAYOU TECHE,29.7072333333333,-91.2994,BAYOU TECHE
2054748,Location,"GULF INTRACOASTAL WATERWAY, mile 34",30.14403,-89.60764,GULF INTRACOASTAL WATERWAY
2058117,Location,MISSISSIPPI RIVER,42.06445,-90.16851,MISSISSIPPI RIVER
2058180,Location,Houston Ship Channel,29.4666666666667,-94.85,Houston Ship Channel
2059064,Location,CHICKASAW CREEK,30.772564,-88.055609,CHICKASAW CREEK
2060639,Location,OUACHITA RIVER,32.1353,-92.09147,OUACHITA RIVER
2063738,Location,MISSISSIPPI RIVER,30.03345,-90.61794,MISSISSIPPI RIVER
2064181,Location,MISSISSIPPI - MM 840,36.124722,-89.597222,MISSISSIPPI RIVER
2065114,Location,GALVESTON CHANNEL,29.31102,-94.82336,GALVESTON CHANNEL
2065537,Location,MM 118.2 Arkansas River: ARKANSAS RIVER,34.74966,-92.25891,ARKANSAS RIVER
2065985,Location,GULF INTRACOASTAL WATERWAY                                                      ,29.2956666666667,-94.8863333333333,GULF INTRACOASTAL WATERWAY
2071222,Location,LONGBOAT PASS,27.44492,-82.67139,LONGBOAT PASS
2074374,Location,GIWW - MM 189: GICW-Big Lagoon-Santa Rosa Sound-Th,30.14966,-85.68668,GICW-Big Lagoon-Santa Rosa Sound-The Narrows
2076376,Location,OHIO - MM 184: OHIO RIVER,39.274722,-81.564443,OHIO RIVER
2076678,Location,BAYOU LAFOURCHE,29.24631,-90.2084,BAYOU LAFOURCHE
2076715,Location,GULF INTRACOASTAL WATERWAY,29.66188,-91.09953,GULF INTRACOASTAL WATERWAY
2076914,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
2077951,Location,BILOXI BAY,30.41907,-88.88693,BILOXI BAY
2080678,Location,ILLINOIS RIVER,41.50171,-88.101272,ILLINOIS RIVER
2086214,Location,MISSISSIPPI RIVER,42.12642,-90.19526,MISSISSIPPI RIVER
2086277,Location,MISSISSIPPI RIVER,41.889128,-90.161982,MISSISSIPPI RIVER
2086469,Location,MISSISSIPPI RIVER,32.302,-90.9085,MISSISSIPPI RIVER
2087565,Location,Cerritos Channel at Hiem Bridge: CERRITOS CHANNEL,33.7596666666667,-118.2375,CERRITOS CHANNEL
2087687,Location,OHIO - MM 941,37.136111,-88.689721,OHIO RIVER
2087746,Location,GULF INTRACOASTAL WATERWAY,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2094345,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
2094414,Location,ILLINOIS RIVER,41.328354,-88.754744,ILLINOIS RIVER
2095377,Location,GULF INTRACOASTAL WATERWAY,28.87058,-95.444545,GULF INTRACOASTAL WATERWAY
2097700,Location,OHIO - MM 184,39.274722,-81.564443,OHIO RIVER
2097878,Location,St. Andrew Bay,30.14966,-85.68668,St. Andrew Bay
2098962,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
2099085,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
2099279,Location,GULF INTRACOASTAL WATERWAY,29.35092,-94.81586,GULF INTRACOASTAL WATERWAY
2100756,Location,VICTORIA BARGE CANAL,28.69131,-96.97247,VICTORIA BARGE CANAL
2101211,Location,MISSISSIPPI RIVER,42.12642,-90.19526,MISSISSIPPI RIVER
2101344,Location,MISSISSIPPI RIVER,42.12642,-90.19526,MISSISSIPPI RIVER
2108436,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
2108696,Location,GULF INTRACOASTAL WATERWAY,29.5716666666667,-90.715,GULF INTRACOASTAL WATERWAY
2109253,Location,ATCHAFALAYA RIVER,30.68911,-91.73566,ATCHAFALAYA RIVER
2112017,Location,GULF INTRACOASTAL WATERWAY,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2112060,Location,GULF INTRACOASTAL WATERWAY,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2117513,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
2123295,Location,OUACHITA RIVER,31.77041,-91.8185,OUACHITA RIVER
2123503,Location,SNAKE RIVER,46.21596,-119.0182,SNAKE RIVER
2123698,Location,GULF INTRACOASTAL WATERWAY,29.82452,-93.96104,GULF INTRACOASTAL WATERWAY
2124720,Location,CHICAGO SHIP CANAL,41.697268,-87.949588,CHICAGO SHIP CANAL
2129612,Location,PETALUMA RIVER,38.11313,-122.4984,PETALUMA RIVER
2129902,Location,SAN PABLO BAY,37.93521,-122.4457,SAN PABLO BAY
2130455,Location,ST. JOSEPH RIVER                                                                ,42.0915,-86.4881666666667,ST. JOSEPH RIVER
2134115,Location,Wapoo Creek: WAPPOO CUT,35.755,-80.1883333333333,WAPPOO CUT
2138135,Location,KANAWHA - MM 1,38.829722,-82.127777,KANAWHA RIVER
2140548,Location,ATCHAFALAYA RIVER,30.54,-91.745,ATCHAFALAYA RIVER
2142554,Location,"LAKE ERIE, Maumee River",41.6816666666667,-83.4833333333333,LAKE ERIE
2146691,Location,NEWARK BAY - HACKENSACK RIVER                                                   ,40.71361,-74.11528,NEWARK BAY
2147062,Location,ILLINOIS RIVER,41.55657,-88.0775,ILLINOIS RIVER
2147843,Location,St. Joseph River,42.1036471666667,-86.4674305,ST. JOSEPH RIVER
2153420,Location,GULF INTRACOASTAL WATERWAY  - MISERALBE MILE,26.72781,-82.19206,OKEECHOBEE WATERWAY
2153721,Location,COLUMBIA RIVER,45.92936,-119.3367,COLUMBIA RIVER
2153775,Location,"HOUMA NAVIGATION CANAL, UPPER",29.571595,-90.717252,"HOUMA NAVIGATION CANAL, UPPER"
2161232,Location,TOMBIGBEE RIVER,31.758091,-88.126633,TOMBIGBEE RIVER
2165314,Location,GULF INTRACOASTAL WATERWAY,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2170794,Location,INNER HARBOR NAVAGATION CANAL,30.03136,-90.03461,INNER HARBOR NAVAGATION CANAL
2171540,Location,CALUMET-SAG CHANNEL,41.66211,-87.5714,CALUMET-SAG CHANNEL
2175021,Location,"INTRACOASTAL WATERWAY, Almonaster Railroad Bridge",29.963066,-90.027716,GULF INTRACOASTAL WATERWAY
2183825,Location,ICW / GALV CAUSEWAY BRIDGE,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2184262,Location,MISSISSIPPI - MM 43: MISSISSIPPI RIVER,37.207222,-89.463888,MISSISSIPPI RIVER
2189037,Location,TENNESSEE RIVER,35.066253,-88.251856,TENNESSEE RIVER
2189346,Location,Lake Washington,47.5833333333333,-122.266666666667,LAKE WASHINGTON SHIP CANAL
2196814,Location,GULF INTRACOASTAL WATERWAY  MM 231.4,29.9706,-92.79704,GULF INTRACOASTAL WATERWAY
2199318,Location,MISSISSIPPI RIVER                                                               ,38.61948,-90.18224,MISSISSIPPI RIVER
2213752,Location,LAKE ERIE                                                                       ,41.51852,-81.70728,LAKE ERIE
2215896,Location,CHELSEA RIVER,42.397475,-71.013447,CHELSEA RIVER
2224884,Location,OHIO RIVER,38.284265,-85.794749,OHIO RIVER
2225400,Location,CALUMET RIVER,41.73279,-87.52756,CALUMET RIVER
2225557,Location,Sister's Creek Bridge: ATLANTIC INTRACOASTAL WATER                              ,30.3933333333333,-81.4616666666667,ST JOHNS RIVER
2226216,Location,GIWW - MM 243,30.065,-93.3466666666667,GULF INTRACOASTAL WATERWAY
2227602,Location,Cape May Middle Thoro River,38.9583333333333,-74.875,ATLANTIC DEEP WATER ACCESS
2227749,Location,531.5 OHIO RIVER MARKLAND LOCKS,38.89839,-84.84761,OHIO RIVER
2228023,Location,OHIO RIVER,38.284265,-85.794749,OHIO RIVER
2229596,Location,GULF INTRACOASTAL WATERWAY,29.307715,-94.87557,GULF INTRACOASTAL WATERWAY
2232295,Location,Houston Ship Channel Access,29.7833333333333,-95.0833333333333,Houston Ship Channel Access
2232472,Location,GULF INTRACOASTAL WATERWAY,30.0816666666667,-93.2866666666667,GULF INTRACOASTAL WATERWAY
2234148,Location,GULF INTRACOASTAL WATERWAY,29.307716,-94.87557,GULF INTRACOASTAL WATERWAY
2236286,Location,CHELSEA RIVER                                                                   ,42.397475,-71.013447,CHELSEA RIVER
2236887,Location,GULF INTRACOASTAL WATERWAY,29.598597,-90.710165,GULF INTRACOASTAL WATERWAY
2237702,Location,GULF INTRACOASTAL WATERWAY,28.942763,-95.308438,GULF INTRACOASTAL WATERWAY
2239689,Location,NEW JERSEY INTRACOASTAL WATERWAY,38.95189,-74.8759,NEW JERSEY INTRACOASTAL WATERWAY
